"시군구코드","지정년도","지정번호","신청일자","지정일자","업소명","소재지도로명","소재지지번","허가(신고)번호","업태명","주된음식","영업장면적(㎡)","행정동명","급수시설구분","소재지전화번호"
"3220000","2014","0160","20141006","20141006","이도곰탕","서울특별시 강남구 논현로94길 29-5 지상1층지상2층 (역삼동)","서울특별시 강남구 역삼동  671번지 17호  ","3220000-101-2001-24197","한식","곰탕","194.41","역삼1동","상수도전용","02 5010738"
"3220000","2010","0024","20100210","20100210","스시히로바","서울특별시 강남구 삼성로 620 블래스톤리조트 지상1층 (삼성동)","서울특별시 강남구 삼성동  70번지  블래스톤리조트","3220000-101-2002-00383","일식","초밥","216.56","삼성1동","상수도전용","02 5155511"
"3220000","2016","0089","20161125","20161125","서백자 간장게장","서울특별시 강남구 삼성로 542 지상2층 (삼성동 석천빌딩)","서울특별시 강남구 삼성동  151번지 4호  석천빌딩 2층","3220000-101-2012-00416","중국식","간장게장","260.30","삼성1동","","02  34536008"
"3220000","2016","0084","20161125","20161125","주)봉산집","서울특별시 강남구 삼성로 564 지상2층지상3층 (삼성동)","서울특별시 강남구 삼성동  145번지 19호  ","3220000-101-2011-01048","한식","차돌박이","452.95","삼성1동","",""
"3220000","2016","5   ","20161125","20161125","리미티드 하누 Limited HANU","서울특별시 강남구 논현로10길 29 지상2층 (개포동)","서울특별시 강남구 개포동  1197번지 2호  지상2층","3220000-101-2013-00224","한식","한정식","572.80","개포4동","","02  34950092"
"3220000","2019","368 ","20191128","20190930","국민한우집 삼성역점(구 칠프로칠백식당 포스코점)","서울특별시 강남구 테헤란로82길 11 (대치동)","서울특별시 강남구 대치동  942번지 13호  ","3220000-101-1998-08200","경양식","칠백한우동","123.19","대치2동","상수도전용","02555 5245"
"3220000","2016","0099","20161125","20161125","더차이홍","서울특별시 강남구 삼성로92길 23 (삼성동)","서울특별시 강남구 삼성동  158번지 7호  ","3220000-101-1992-12858","중국식","자장면","166.75","삼성1동","상수도전용","02 5655514"
"3220000","2010","0025","20100210","20100210","이즈미","서울특별시 강남구 언주로 857 지상1층 (신사동)","서울특별시 강남구 신사동  621번지 3호  ","3220000-101-2000-21072","한식","회","329.22","신사동","상수도전용","02 5110107"
"3220000","2014","0017","20141003","20141003","한서외식산업(주)","서울특별시 강남구 도산대로 308 (논현동지하1층지상345층)","서울특별시 강남구 논현동  91번지 4호  지하1층지상345층","3220000-101-1994-07457","한식","한정식","1552.07","논현2동","상수도전용","0205453334"
"3220000","2014","0018","20141006","20141006","홍영재 장수 청국장","서울특별시 강남구 영동대로 424 지상1층 (대치동)","서울특별시 강남구 대치동  1001번지  지상1층","3220000-101-2013-00292","한식","청국장","398.68","대치2동","",""
