"시군구코드","지정년도","지정번호","신청일자","지정일자","업소명","소재지도로명","소재지지번","허가(신고)번호","업태명","주된음식","영업장면적(㎡)","행정동명","급수시설구분","소재지전화번호"
"3240000","2012","120 ","20121022","20121031","더 파크뷰","서울특별시 강동구 천호대로 1102 (성내동)","서울특별시 강동구 성내동  199번지 10호  ","3240000-101-1998-00966","뷔페식","부페","1504.40","성내제2동","상수도전용","02 4777700"
"3240000","2012","113 ","20121022","20121031","길조","서울특별시 강동구 천호대로 1173 (길동)","서울특별시 강동구 길동  236번지 8호  ","3240000-101-1989-10414","한식","해물탕 찜","160.18","길동","","02 4769494"
"3240000","2012","117 ","20121022","20121031","마실","서울특별시 강동구 동남로73길 31 2층 (명일동)","서울특별시 강동구 명일동  48번지 1호  2층","3240000-101-2012-00085","한식","한정식","320.70","명일제2동","","02  429 6999"
"3240000","2008","0094","20070604","20080630","(유)아웃백스테이크하우스코리아 천호점","서울특별시 강동구 올림픽로 660 (천호동(지하1층))","서울특별시 강동구 천호동  427번지 3호  (지하1층)","3240000-101-2001-12138","경양식","스테이크","617.59","천호제2동","","02 4711791"
"3240000","2014","0103","20141105","20141212","명태어장(강일점)","서울특별시 강동구 아리수로93길 33-9 202호 (강일동 강일프라자)","서울특별시 강동구 강일동  676번지  강일프라자 202호(아리수로93길 33-9)","3240000-101-2011-00260","한식","부대찌개","135.69","강일동","","02 4417282"
"3240000","2012","132 ","20121022","20121031","지호한방삼계탕","서울특별시 강동구 올림픽로 813 (암사동)","서울특별시 강동구 암사동  504번지 21호  ","3240000-101-2007-00281","한식","삼계탕","132.00","암사제2동","","02 4413318"
"3240000","2009","0178","20090508","20090630","소쿡 한마리 정육식당","서울특별시 강동구 상암로 32 (암사동)","서울특별시 강동구 암사동  512번지 14호  ","3240000-101-2006-00252","한식","왕갈비 꽃삼겹","190.00","암사제2동","","02 4290855"
"3240000","2016","0015","20050504","20161223","옛날불고기","서울특별시 강동구 상암로12길 4 (천호동)","서울특별시 강동구 천호동  287번지 4호  ","3240000-101-2000-12035","한식","불고기","247.00","천호제2동","","02 4779236"
"3240000","2014","0112","20141105","20141212","더두툼생고기","서울특별시 강동구 구천면로 666 (상일동(1층))","서울특별시 강동구 상일동  224번지  (1층)","3240000-101-2010-00050","한식","삼겹살","108.81","상일제1동","","02  429 3774"
"3240000","2008","0081","20070604","20080630","춘향골남원추어탕","서울특별시 강동구 양재대로111길 16 (길동)","서울특별시 강동구 길동  388번지 6호  ","3240000-101-1999-10900","한식","추어탕","102.59","길동","상수도전용","02 4714714"
"3240000","2008","0144","20070604","20080630","보릿골강동점","서울특별시 강동구 동남로 708 (둔촌동23층)","서울특별시 강동구 둔촌동  561번지 3호  23층","3240000-101-2004-00393","한식","보리밥","231.00","둔촌제2동","","02478 1518"
"3240000","2010","129 ","20100510","20100630","서울면옥","서울특별시 강동구 동남로75길 13-7 (명일동(2층2호))","서울특별시 강동구 명일동  47번지 6호  (2층2호)","3240000-101-2008-00121","한식","냉면 갈비","148.20","명일제2동","","0002 4289004"
"3240000","2010","120 ","20100510","20100630","역전할머니맥주 길동점","서울특별시 강동구 천호대로177길 55 (길동(101호))","서울특별시 강동구 길동  414번지 6호  (101호)","3240000-101-2007-00117","한식","닭갈비","112.00","길동","","02488 9920"
"3240000","2013","112 ","20131202","20131202","가인채 강동점","서울특별시 강동구 양재대로 1571 x5y8호 (천호동 홈플러스 강동점 3층)","서울특별시 강동구 천호동  42번지  홈플러스 강동점 3층-x5y8","3240000-101-2013-00021","뷔페식","샤브샤브샐러드","377.90","천호제1동","","02 4746602"
"3240000","2011","117 ","20111004","20111031","놀부부대찌개 고덕역점","서울특별시 강동구 동남로75길 13-21 (명일동)","서울특별시 강동구 명일동  47번지 17호  ","3240000-101-2007-00026","한식","부대찌개","80.55","명일제2동","","02  428 8882"
"3240000","2011","113 ","20111004","20111031","육대장 강동성심병원점","서울특별시 강동구 성안로 158 (길동(1층))","서울특별시 강동구 길동  416번지 19호  (1층)","3240000-101-2007-00437","한식","육개장 한방보쌈","195.52","길동","","02   4736868"
"3240000","2013","104 ","20131113","20131202","차오차오(강일점)","서울특별시 강동구 아리수로 423 2층 201202호 (강일동)","서울특별시 강동구 강일동  679번지 1호  강일큐브-201202","3240000-101-2012-00364","중국식","중화요리","133.00","강일동","","02  429 8282"
"3240000","2008","0079","20070604","20080630","백제추어탕","서울특별시 강동구 양재대로 1406 (둔촌동)","서울특별시 강동구 둔촌동  486번지 5호  1층","3240000-101-1999-10765","한식","샤브샤브","200.43","둔촌제2동","","02 4713888"
"3240000","2017","2017","20171027","20171027","돌판구이 또바기","서울특별시 강동구 구천면로17길 32 1층 (천호동)","서울특별시 강동구 천호동  334번지 10호  ","3240000-101-2017-00250","한식","고기류","53.00","천호제2동","","02  483 8285"
"3240000","2008","0157","20070604","20080630","(주)샤브플러스","서울특별시 강동구 천호대로 1015 (천호동)","서울특별시 강동구 천호동  455번지  ","3240000-101-2005-00245","한식","샤브샤브칼국수","264.00","천호제2동","","02477 7754"
"3240000","2011","121 ","20050502","20111031","글루와식당","서울특별시 강동구 천호대로 1254 (둔촌동)","서울특별시 강동구 둔촌동  576번지 1호  ","3240000-101-2004-00218","한식","아구찜","132.00","둔촌제2동","","02 4714747"
"3240000","2008","0141","20070604","20080630","3692숯불바베큐전문점","서울특별시 강동구 강동대로 177 (성내동)","서울특별시 강동구 성내동  468번지 6호  ","3240000-101-2004-00213","한식","바베큐","240.90","성내제1동","","02 4843692"
"3240000","2008","0011","20070604","20080630","강남랭겹","서울특별시 강동구 진황도로 96 (길동)","서울특별시 강동구 길동  449번지 1호  ","3240000-101-1987-02196","한식","소금구이항정살","133.00","길동","상수도전용","02 4761485"
"3240000","2012","119 ","20121022","20121031","스카이라운지","서울특별시 강동구 천호대로 1102 (성내동)","서울특별시 강동구 성내동  199번지 10호  ","3240000-101-1999-03770","뷔페식","부페","1160.97","성내제3동","","02 4777700"
"3240000","2008","0167","20080516","20080630","황도바지락칼국수","서울특별시 강동구 천호대로 1256 (둔촌동(행정구역개편))","서울특별시 강동구 둔촌동  576번지 4호  (행정구역개편)","3240000-101-2002-13304","한식","칼국수","286.00","둔촌제2동","상수도전용","02 4846554"
"3240000","2008","0044","20070604","20080630","할머니 추어탕","서울특별시 강동구 구천면로 516 (명일동)","서울특별시 강동구 명일동  61번지 0호  ","3240000-101-1994-10002","한식","추어탕","164.43","명일제2동","상수도전용",""
"3240000","2010","138 ","20100510","20100630","강천민물장어","서울특별시 강동구 고덕로 52 상가동 1717-1호 (암사동 대원아파트)","서울특별시 강동구 암사동  461번지  대원아파트","3240000-101-1999-11141","한식","고기류","193.96","암사제1동","상수도전용","02  442 1668"
"3240000","2015","0112","20151111","20151222","강동일식","서울특별시 강동구 동남로73길 17 (명일동우진빌딩)","서울특별시 강동구 명일동  48번지 3호  우진빌딩","3240000-101-1994-03135","일식","모둠회","56.25","명일제2동","상수도전용","02 4410566"
"3240000","2015","0115","20151111","20151222","갯마루","서울특별시 강동구 양재대로103길 38 (성내동)","서울특별시 강동구 성내동  245번지 40호  ","3240000-101-2003-14051","한식","해물찜","132.00","성내제3동","","02 4865235"
"3240000","2015","0124","20151111","20151222","농부의 꿈","서울특별시 강동구 상일로 33 (상일동3층)","서울특별시 강동구 상일동  259번지  3층","3240000-101-2013-00157","한식","삼겹살","288.20","상일제1동","",""
