"시군구코드","지정년도","지정번호","신청일자","지정일자","업소명","소재지도로명","소재지지번","허가(신고)번호","업태명","주된음식","영업장면적(㎡)","행정동명","급수시설구분","소재지전화번호"
"3080000","2006","0089","20060627","20060701","섬진강식당","서울특별시 강북구 한천로 1151 (수유동(4.19길 119))","서울특별시 강북구 수유동  273번지 11호  (4.19길 119)","3080000-101-1984-04583","한식","장어구이","188.04","수유제2동","상수도전용","02 9939545"
"3080000","2021","0001","20201005","20210106","고메스퀘어 수유점","서울특별시 강북구 도봉로 308 (주)북한산스카이 9층 (번동)","서울특별시 강북구 번동  449번지 1호  (주)북한산스카이","3080000-101-2018-00256","뷔페식","생선회","891.00","번제1동","","02  69566275"
"3080000","2012","0012","20121101","20121204","우리가돼지갈비","서울특별시 강북구 솔샘로 334-8 (미아동)","서울특별시 강북구 미아동  65번지 9호  ","3080000-101-2004-00324","한식","돼지갈비","230.64","송천동","상수도전용","02  981 9800"
"3080000","2006","0059","20060627","20060701","풍년갈비","서울특별시 강북구 솔샘로67길 132 (미아동)","서울특별시 강북구 미아동  317번지 19호  ","3080000-101-1990-00282","한식","돼지갈비","118.90","송천동","상수도전용","02 9801631"
"3080000","2006","0134","20060627","20060701","시골쌈밥","서울특별시 강북구 덕릉로19길 8 (수유동(원앙길 4))","서울특별시 강북구 수유동  47번지 14호  (원앙길 4)","3080000-101-2001-08750","한식","쌈밥","101.79","인수동","상수도전용","02 9081264"
"3080000","2009","0019","20090910","20090910","갑식이네착한낙지","서울특별시 강북구 한천로 1124 (수유동)","서울특별시 강북구 수유동  254번지 32호  ","3080000-101-2000-08535","한식","낙지볶음","67.20","수유제2동","상수도전용","02 9977779"
"3080000","2018","0011","20181018","20181221","기품","서울특별시 강북구 도봉로49길 7 (미아동(밤꽃3길 5)(지상1층))","서울특별시 강북구 미아동  304번지 16호  (밤꽃3길 5)(지상1층)","3080000-101-2002-00727","한식","장어구이","200.90","미아동","","02  985 7744"
"3080000","2021","0005","20201005","20210106","명인갈비(미아점)","서울특별시 강북구 솔샘로 327 테마빌딩 (미아동)","서울특별시 강북구 미아동  374번지 13호  테마빌딩","3080000-101-2019-00291","한식","돼지갈비","626.30","미아동","","02  986 9292"
"3080000","2009","0013","20090910","20090910","부잣집설렁탕","서울특별시 강북구 도봉로8길 9 (미아동(하천길 5))","서울특별시 강북구 미아동  860번지 223호  (하천길 5)","3080000-101-1998-05722","한식","설렁탕","89.60","송중동","상수도전용","02 9829944"
"3080000","2013","0006","20131129","20131217","북한산착한낙지","서울특별시 강북구 4.19로 82 1층 (수유동)","서울특별시 강북구 수유동  535번지 362호  1층","3080000-101-2006-00154","한식","낙지볶음","280.22","우이동","상수도전용","02 9057963"
"3080000","2017","0002","20161018","20170103","삼족오","서울특별시 강북구 한천로 1067-1 (수유동)","서울특별시 강북구 수유동  189번지 3호  ","3080000-101-1997-05905","한식","치킨","62.48","수유제3동","상수도전용","02 9058411"
"3080000","2011","1105","20111020","20111028","서우샤브샤브","서울특별시 강북구 도봉로 213 (미아동(도봉로213)(지상2층))","서울특별시 강북구 미아동  207번지 20호  (도봉로213)(지상2층)","3080000-101-2010-00091","한식","샤브샤브","288.66","미아동","상수도전용","02  983 9446"
"3080000","2006","0109","20060627","20060701","수유손칼국수","서울특별시 강북구 도봉로101길 45 (수유동)","서울특별시 강북구 수유동  167번지 3호  ","3080000-101-1985-04242","한식","칼국수","93.17","수유제3동","상수도전용","02905 9949"
"3080000","2009","0031","20090910","20090910","최가네양평해장국","서울특별시 강북구 덕릉로 162 (번동)","서울특별시 강북구 번동  433번지 15호  ","3080000-101-2003-00408","한식","해장국","0","번제2동","","02  980 3344"
"3080000","2015","0002","20151118","20151214","두툼 갈비","서울특별시 강북구 덕릉로28길 72 (미아동)","서울특별시 강북구 미아동  189번지 37호  (지상1층)","3080000-101-2008-00136","한식","삼겹살","109.66","삼양동","상수도전용","02  980 9435"
