"시군구코드","지정년도","지정번호","신청일자","지정일자","업소명","소재지도로명","소재지지번","허가(신고)번호","업태명","주된음식","영업장면적(㎡)","행정동명","급수시설구분","소재지전화번호"
"3150000","2015","0023","20151118","20151118","어다리횟집 발산점","서울특별시 강서구 강서로54길 14 3층 (등촌동 3동 윤강빌딩)","서울특별시 강서구 등촌동  673번지 3호  윤강빌딩 (지상 3층)","3150000-101-2014-00430","일식","모듬회","285.90","등촌제3동","상수도전용","0236640015"
"3150000","2015","0006","20151118","20151118","T.G.I.F 롯데백화점 김포공항점","서울특별시 강서구 하늘길 38 지하 2층 (방화동 2동 김포공항 스카이파크)","서울특별시 강서구 방화동  886번지 0호  외 6필지 김포공항 스카이파크 (지하 2층)","3150000-101-2011-00391","경양식","스테이크","583.87","방화제2동","상수도전용","0261165711"
"3150000","2002","0121","20020315","20020412","양촌리","서울특별시 강서구 화곡로 109 1~2층 (화곡동 3동)","서울특별시 강서구 화곡동  1069번지 3호  (지상 1층~2층)","3150000-101-1997-04510","한식","돼지갈비 삼겹살","456.71","화곡제3동","상수도전용","0226988592"
"3150000","2003","0198","20020315","20031212","이조갈비","서울특별시 강서구 양천로 353 1층 (가양동 1동)","서울특별시 강서구 가양동  138번지 9호  외 2필지 (지상 1층)","3150000-101-1996-04864","한식","갈비탕","266.45","가양제1동","상수도전용","0236613457"
"3150000","2018","0009","20181010","20181210","능라도","서울특별시 강서구 마곡동로 56 건와빌딩 2층 202203호 (마곡동)","서울특별시 강서구 마곡동  797번지 6호  건와빌딩 (지상 2층)-202203","3150000-101-2018-00236","한식","평양냉면","536.00","가양제1동","상수도전용","0269588939"
"3150000","2018","0008","20181010","20181210","가든키친(Garden Kitchen)","서울특별시 강서구 마곡중앙12로 10 메리어트호텔 1층 (마곡동)","서울특별시 강서구 마곡동  766번지 1호  메리어트호텔 (지상 1층)","3150000-101-2018-00212","한식","뷔페","443.32","가양제1동","상수도전용","0269467111"
"3150000","2004","272 ","20040601","20040705","신고집해물찜","서울특별시 강서구 강서로 188 1층 (화곡동 우장산동)","서울특별시 강서구 화곡동  1052번지 0호  외 1필지 (지상 1층)","3150000-101-2003-00593","한식","해물찜","158.54","우장산동","상수도전용","0226683359"
"3150000","2013","29  ","20131201","20131202","명동가츠라","서울특별시 강서구 하늘길 38 지하 2층 (방화동 2동 김포공항 스카이파크)","서울특별시 강서구 방화동  886번지 0호  외 6필지 김포공항 스카이파크 (지하 2층)","3150000-101-2011-00415","일식","우동","165.75","방화제2동","상수도전용","0261165539"
"3150000","2002","0264","20020315","20020412","마산아구찜","서울특별시 강서구 금낭화로 135 3층 (방화동 3동)","서울특별시 강서구 방화동  829번지 4호  (지상 3층)","3150000-101-1997-04441","한식","대구탕","102.86","방화제3동","상수도전용","0226651527"
"3150000","2010","0005","20100604","20100803","망향비빔국수","서울특별시 강서구 양천로 720 가동 1층 (염창동 유동빌딩)","서울특별시 강서구 염창동  263번지 8호 가 유동빌딩 (지상 1층)","3150000-101-2009-00199","한식","비빔국수","264.00","염창동","상수도전용","0226596599"
