"시군구코드","지정년도","지정번호","신청일자","지정일자","업소명","소재지도로명","소재지지번","허가(신고)번호","업태명","주된음식","영업장면적(㎡)","행정동명","급수시설구분","소재지전화번호"
"3200000","2019","0003","20190830","20191111","정성","서울특별시 관악구 관악로 154-5 2층 (봉천동)","서울특별시 관악구 봉천동  1598번지 2호  ","3200000-101-2016-00035","일식","초밥","66.00","낙성대동","상수도전용","02 8850090"
"3200000","2018","114 ","20080710","20181109","양평해장국","서울특별시 관악구 봉천로 229 (봉천동(972번지 3호))","서울특별시 관악구 봉천동  972번지 4호  (972번지 3호)","3200000-101-1995-02581","한식","","133.47","보라매동","상수도전용","02  875 2366"
"3200000","2016","568 ","20160920","20161109","옛날육개장","서울특별시 관악구 관악로 154-6 1층 (봉천동)","서울특별시 관악구 봉천동  1598번지 16호  지상1층","3200000-101-2001-04172","한식","육개장","29.06","낙성대동","상수도전용","02 8780233"
"3200000","2018","74  ","20150616","20181109","탐나종합어시장(난곡사거리점)","서울특별시 관악구 남부순환로 1481 1층 (신림동)","서울특별시 관악구 신림동  527번지 9호  ","3200000-101-2014-00365","한식","","188.00","신사동","상수도전용","02 62070056"
"3200000","2019","0001","20190830","20191111","스시건","서울특별시 관악구 호암로24길 35 1층 (신림동)","서울특별시 관악구 신림동  1522번지 6호  ","3200000-101-2014-00049","일식","초밥","50.60","대학동","상수도전용","070 88733541"
"3200000","2020","0010","20200831","20201111","만성찬팅","서울특별시 관악구 신림로 322-4 지하1층 (신림동)","서울특별시 관악구 신림동  75번지 41호  ","3200000-101-2013-00369","호프/통닭","꿔바로우","320.73","서원동","상수도전용","02 8831978"
"3200000","2019","0016","20190830","20191111","라공방 신림점","서울특별시 관악구 신림로 340 르네상스복합쇼핑몰 1층 53~88호 (신림동)","서울특별시 관악구 신림동  1422번지 5호  르네상스복합쇼핑몰","3200000-101-2019-00305","중국식","","124.82","신림동","",""
"3200000","2018","103 ","20170920","20181109","장수촌","서울특별시 관악구 남부순환로 2082-37 2층 (남현동)","서울특별시 관악구 남현동  1060번지 17호  ","3200000-101-1997-09743","기타","","152.60","남현동","상수도전용","02 5820230"
"3200000","2018","118 ","20090313","20181109","어회가&무한장어","서울특별시 관악구 신림동5길 48 늘푸른빌딩 지하1층 (신림동)","서울특별시 관악구 신림동  1434번지 20호  늘푸른빌딩","3200000-101-2008-00210","일식","","144.02","신림동","","02  887 7904"
"3200000","2018","126 ","20080710","20181109","정박사정육식당","서울특별시 관악구 관악로14길 15 지상1층 (봉천동)","서울특별시 관악구 봉천동  1599번지 4호  ","3200000-101-2005-00466","한식","","95.71","낙성대동","상수도전용","02 8713202"
"3200000","2019","0002","20190830","20191111","갯바위","서울특별시 관악구 남부순환로216길 13 1층 (봉천동)","서울특별시 관악구 봉천동  876번지 19호  ","3200000-101-1997-06066","한식","","40.01","청룡동","상수도전용",""
"3200000","2019","0004","20190830","20191111","장수우렁불백","서울특별시 관악구 관악로 148 (봉천동)","서울특별시 관악구 봉천동  1598번지 20호  ","3200000-101-2001-11128","한식","","72.75","낙성대동","상수도전용","02  882 0263"
"3200000","2018","69  ","20160920","20181109","동경에서 만난 매운라멘과 돈카츠 신림점","서울특별시 관악구 신림로11길 18 (신림동지상1층)","서울특별시 관악구 신림동  241번지 43호  지상1층","3200000-101-2008-00014","한식","","44.97","대학동","","02  873 7470"
"3200000","2019","0009","20190830","20191111","미가면옥","서울특별시 관악구 관악로 246 2층 (봉천동)","서울특별시 관악구 봉천동  37번지 86호  ","3200000-101-2019-00073","한식","","72.60","행운동","",""
