"시군구코드","지정년도","지정번호","신청일자","지정일자","업소명","소재지도로명","소재지지번","허가(신고)번호","업태명","주된음식","영업장면적(㎡)","행정동명","급수시설구분","소재지전화번호"
"3040000","2016","0006","20161021","20161021","명가네남원추어탕","서울특별시 광진구 능동로37길 11 1층 (중곡동)","서울특별시 광진구 중곡동  649번지 13호  1층","3040000-101-2016-00001","한식","추어탕","170.00","중곡제1동","","02 4615977"
"3040000","2008","5568","20081024","20081201","부림정","서울특별시 광진구 뚝섬로 476-7 (자양동)","서울특별시 광진구 자양동  52번지 2호  ","3040000-101-1979-00456","한식","갈비","112.10","자양제4동","상수도전용","02 4635455"
"3040000","2005","5449","20051111","20051111","대원칼국수","서울특별시 광진구 자양로18길 56 거송빌딩 2층 (구의동)","서울특별시 광진구 구의동  243번지 6호  거송빌딩","3040000-101-1987-00710","분식","칼국수","132.44","구의제1동","상수도전용","02 4543112"
"3040000","2011","5627","20111201","20111201","손큰할매순대국","서울특별시 광진구 군자로 86 (군자동)","서울특별시 광진구 군자동  363번지 2호  ","3040000-101-2008-00149","한식","순대국","99.00","군자동","상수도전용","02 4658769"
"3040000","2015","0001","20151013","20151013","유성집","서울특별시 광진구 천호대로137길 9 지하2층 (구의동)","서울특별시 광진구 구의동  57번지 30호  지하2층","3040000-101-2015-00014","한식","등심","162.33","구의제2동","","02 4546999"
"3040000","2012","5646","20121102","20121231","장수마을정육식당","서울특별시 광진구 군자로 100 (군자동)","서울특별시 광진구 군자동  100번지 105호  ","3040000-101-2004-00099","한식","갈비","209.00","군자동","상수도전용","02 4666005"
"3040000","2005","5461","20051111","20051111","포몬스(건대점)","서울특별시 광진구 아차산로 208 (자양동상록빌딩 1층)","서울특별시 광진구 자양동  8번지 3호  상록빌딩 1층","3040000-101-2004-00280","한식","쌀국수","161.13","자양제4동","상수도전용","02 4611721"
"3040000","2015","0004","20151013","20151013","일송정","서울특별시 광진구 아차산로49길 21 1~2층 (구의동)","서울특별시 광진구 구의동  252번지 19호  ","3040000-101-1995-00173","한식","한정식","150.92","구의제1동","상수도전용","02 4472233"
"3040000","2012","5639","20121102","20121231","니뽕내뽕","서울특별시 광진구 동일로20길 60 1층 (자양동)","서울특별시 광진구 자양동  10번지 45호  1층","3040000-101-2011-00014","중국식","짬뽕","82.00","자양제4동","","02 4991828"
"3040000","2017","0003","20170915","20171018","미국가주우육면대왕&중화반점","서울특별시 광진구 동일로18길 56 (자양동(2층))","서울특별시 광진구 자양동  11번지 5호  (2층)","3040000-101-2006-00175","중국식","우육면","89.38","자양제4동","상수도전용","0264658999"
"3040000","2015","0011","20151013","20151013","부림정","서울특별시 광진구 능동로 18 지하1층 B01-1호 (자양동 이튼타워리버3차)","서울특별시 광진구 자양동  855번지  이튼타워리버3차-B01-1","3040000-101-2015-00244","한식","갈비","192.58","자양제3동","","02 4991714"
"3040000","2012","5642","20121102","20121231","망향비빔국수","서울특별시 광진구 천호대로 694 (구의동(1층))","서울특별시 광진구 구의동  73번지 5호  (1층)","3040000-101-2008-00224","한식","비빔국수","171.42","구의제2동","상수도전용","02 4541357"
"3040000","2011","5636","20111201","20111201","군자닭갈비","서울특별시 광진구 능동로 315 1층 (중곡동)","서울특별시 광진구 중곡동  649번지 8호  1층","3040000-101-2008-00251","한식","닭갈비","64.48","중곡제1동","상수도전용","0262459888"
"3040000","2015","0002","20151013","20151013","전주가","서울특별시 광진구 자양로42길 2 1층 101호102호 (구의동)","서울특별시 광진구 구의동  71번지 1호  101호102호","3040000-101-2014-00011","한식","콩나물국밥","84.19","구의제2동","","02 4468644"
"3040000","1999","5173","19990730","19990730","슈드서울(Should Seoul)","서울특별시 광진구 아차산로31길 6 (화양동)","서울특별시 광진구 화양동  8번지 97호  ","3040000-101-1997-02058","한식","닭한마리","104.50","화양동","상수도전용","02 4983027"
"3040000","2006","5489","20061023","20061128","탄뽀뽀","서울특별시 광진구 광나루로56길 85 (구의동테크노마트21 9층38)","서울특별시 광진구 구의동  546번지 4호  테크노마트21 9층38","3040000-101-1998-04003","일식","초밥","89.05","구의제3동","상수도전용","02 4074956"
"3040000","2007","5527","20070427","20070531","최원석의돼지한판&서해쭈꾸미건대1호점","서울특별시 광진구 아차산로 199 (화양동)","서울특별시 광진구 화양동  49번지 20호  ","3040000-101-1996-01739","한식","돼지고기 쭈꾸미요리","105.61","화양동","상수도전용","02 4611272"
"3040000","2013","5659","20130730","20130912","크래버대게나라","서울특별시 광진구 천호대로 611 1층 (중곡동)","서울특별시 광진구 중곡동  131번지 5호  1층","3040000-101-2012-00154","기타","대게정식","199.21","중곡제2동","","02 4560277"
"3040000","2015","0007","20151013","20151013","제주뜰향갈치전문점","서울특별시 광진구 능동로 387 (중곡동)","서울특별시 광진구 중곡동  165번지 3호  ","3040000-101-1986-01090","한식","갈치조림","82.82","중곡제1동","상수도전용","02 4646118"
"3040000","2012","5645","20121102","20121231","유일설렁탕","서울특별시 광진구 용마산로 154 (중곡동)","서울특별시 광진구 중곡동  18번지 13호  ","3040000-101-1987-00565","한식","설렁탕","60.88","중곡제4동","상수도전용","02 4525860"
"3040000","2009","5591","20090910","20091105","광장동 가온","서울특별시 광진구 아차산로78길 75 (광장동 현대골든텔 106호)","서울특별시 광진구 광장동  102번지  ","3040000-101-2008-00119","한식","곰국수","237.70","광장동","상수도전용","0234367100"
"3040000","2016","0009","20161021","20161021","매운향솥","서울특별시 광진구 동일로18길 61 (자양동)","서울특별시 광진구 자양동  9번지 33호  ","3040000-101-2007-00304","중국식","샤브샤브","60.30","자양제4동","상수도전용","02 4686388"
"3040000","2005","5436","20050705","20050705","중일가든","서울특별시 광진구 아차산로76가길 4 (광장동)","서울특별시 광진구 광장동  325번지 4호  ","3040000-101-1988-01348","한식","꽃등심","362.08","광장동","상수도전용","02 4543770"
"3040000","2018","0004","20180831","20181023","맷돌로만","서울특별시 광진구 자양로 135 1층 (자양동)","서울특별시 광진구 자양동  767번지 4호  자양오피스텔 1층","3040000-101-2017-00338","한식","두부요리","278.46","자양제1동","","02 5931233"
"3040000","2007","5530","20071026","20071130","명가순대국","서울특별시 광진구 광나루로 621 (광장동)","서울특별시 광진구 광장동  512번지 5호  ","3040000-101-1998-06612","한식","순대국","90.88","광장동","상수도전용","02 4571613"
"3040000","1999","5166","19990730","19990730","무교동낙지구의점","서울특별시 광진구 아차산로 464 (구의동)","서울특별시 광진구 구의동  213번지 2호  ","3040000-101-1998-02215","한식","낙지볶음","165.78","구의제3동","상수도전용","02 4462565"
"3040000","2018","0005","20180823","20181023","미가담","서울특별시 광진구 자양로 165 1층 (구의동)","서울특별시 광진구 구의동  254번지 114호  1층","3040000-101-2014-00147","호프/통닭","보리밥","82.50","구의제1동","","02 22019595"
"3040000","2010","5610","20100618","20100720","미스터손두부보쌈","서울특별시 광진구 아차산로 262 (자양동)","서울특별시 광진구 자양동  227번지 7호  스타시티판매동 지하1층 76호","3040000-101-2007-00096","한식","순두부","96.58","자양제3동","상수도전용","0220241424"
"3040000","2006","5486","20061023","20061128","민속손국시","서울특별시 광진구 아차산로 458 (구의동)","서울특별시 광진구 구의동  218번지 1호  ","3040000-101-2005-00350","분식","칼국수","77.37","구의제3동","상수도전용","02 4447833"
"3040000","2005","5425","20050705","20050705","보현식당","서울특별시 광진구 뚝섬로34길 9 (자양동)","서울특별시 광진구 자양동  761번지  현대아파트 2차상가","3040000-101-1997-02035","한식","삼겹살","92.19","자양제3동","상수도전용","02 4585784"
"3040000","2001","5288","20011218","20011218","복성장","서울특별시 광진구 면목로 37 (군자동)","서울특별시 광진구 군자동  469번지 22호  ","3040000-101-2000-09396","중국식","자장면","50.77","군자동","상수도전용","02 4614333"
"3040000","2010","5611","20100618","20100720","비조","서울특별시 광진구 광나루로 586 (구의동)","서울특별시 광진구 구의동  202번지 27호  ","3040000-101-2003-00378","일식","생선회","110.84","구의제3동","상수도전용","02 4551345"
"3040000","1998","5046","19980220","19980220","송림식당","서울특별시 광진구 자양번영로 77 (자양동137138139141)","서울특별시 광진구 자양동  227번지 136호  137138139141","3040000-101-1983-00539","한식","불고기","524.88","자양제3동","상수도전용","02 4575473"
"3040000","2016","0007","20161021","20161021","세종원","서울특별시 광진구 광나루로 373 1층 (군자동)","서울특별시 광진구 군자동  361번지 32호  1층","3040000-101-2014-00107","중국식","자장면","66.00","군자동","","02 4991800"
"3040000","2017","0007","20170915","20171018","송쉐프구의점","서울특별시 광진구 아차산로 355 타워더모스트광진아크로텔 2층 208호 (자양동)","서울특별시 광진구 자양동  779번지  타워더모스트광진아크로텔","3040000-101-2015-00110","중국식","짜장면","193.37","자양제1동","","02446 6000"
"3040000","2005","5463","20051111","20051111","시옌(禧宴)","서울특별시 광진구 능동로 137-8 (화양동지하1층12층)","서울특별시 광진구 화양동  3번지 14호  지하1층12층","3040000-101-1996-02569","중국식","자장면","282.15","화양동","상수도전용","02 4982280"
