"시군구코드","지정년도","지정번호","신청일자","지정일자","업소명","소재지도로명","소재지지번","허가(신고)번호","업태명","주된음식","영업장면적(㎡)","행정동명","급수시설구분","소재지전화번호"
"3160000","2007","014 ","20070629","20070705","장어명가","서울특별시 구로구 중앙로 102 (고척동)","서울특별시 구로구 고척동  186번지 11호  ","3160000-101-2005-00007","한식","감자탕","145.00","고척제2동","상수도전용","0226867730"
"3160000","2009","212 ","20090701","20090803","황제갈비","서울특별시 구로구 경인로40길 12 (개봉동)","서울특별시 구로구 개봉동  178번지 13호  ","3160000-101-1996-01877","한식","냉면갈비","103.72","개봉제1동","상수도전용","0226151761"
"3160000","2008","0028","20080701","20080717","맛태정식","서울특별시 구로구 고척로40길 33-6 (고척동)","서울특별시 구로구 고척동  269번지 11호  ","3160000-101-1989-01571","한식","황태찜","54.00","고척제2동","상수도전용","0226843202"
"3160000","2014","0001","20140312","20140619","마리오푸드","서울특별시 구로구 디지털로30길 28 106107108호 (구로동 마리오타워)","서울특별시 구로구 구로동  222번지 12호  마리오타워-1061","3160000-101-2009-00142","한식","백반(뷔페)","680.40","구로제3동","상수도전용","02 8906637"
"3160000","2014","0010","20140227","20140619","참좋은식당","서울특별시 구로구 경인로 228 (오류동)","서울특별시 구로구 오류동  33번지 73호  ","3160000-101-1998-02224","한식","복요리","80.00","오류제1동","상수도전용","0226140205"
"3160000","2004","0004","20040415","20040702","옛날손짜장","서울특별시 구로구 구로동로 241 (구로동)","서울특별시 구로구 구로동  497번지 3호  ","3160000-101-1988-02320","중국식","자장면","25.00","구로제2동","상수도전용","02862 2074"
"3160000","2015","0010","20150910","20151118","횡성 생고기","서울특별시 구로구 구로동로22길 91 (구로동)","서울특별시 구로구 구로동  769번지 255호  B동","3160000-101-2001-09027","한식","소고기구이","75.00","구로제4동","상수도전용","02869 6973"
"3160000","2015","0001","20150910","20151118","약산골 돼지갈비","서울특별시 구로구 공원로8길 47 (구로동)","서울특별시 구로구 구로동  41번지 15호  ","3160000-101-2012-00046","통닭(치킨)","돼지갈비","61.00","구로제5동","상수도전용","02  852 6500"
"3160000","2015","0011","20151012","20151118","가빈","서울특별시 구로구 구로동로 174-9 (구로동)","서울특별시 구로구 구로동  416번지 23호  ","3160000-101-2003-00486","한식","오리고기구이","83.00","구로제2동","상수도전용",""
"3160000","2002","0126","20020401","20020502","광명수산","서울특별시 구로구 남부순환로95길 8-9 (개봉동)","서울특별시 구로구 개봉동  203번지 12호  ","3160000-101-2001-09583","한식","생선회(해삼)","0","개봉제2동","","0226194941"
"3160000","2007","051 ","20070629","20070705","궁원복집","서울특별시 구로구 가마산로19길 6-3 지하1층지상1층 (구로동)","서울특별시 구로구 구로동  431번지 10호  지하1층지상1층","3160000-101-1987-00436","복어취급","복지리","123.76","구로제2동","상수도전용","02 8670537"
"3160000","2009","219 ","20090701","20090803","화평동왕냉면","서울특별시 구로구 구로중앙로 219 (구로동1층 101102103)","서울특별시 구로구 구로동  612번지 2호  1층 101102103","3160000-101-2005-00148","한식","냉면","85.00","구로제2동","",""
"3160000","2007","044 ","20070629","20070705","김가네곱창구이","서울특별시 구로구 도림로 93 (구로동)","서울특별시 구로구 구로동  148번지 10호  ","3160000-101-2006-00068","한식","모듬곱창","59.22","구로제4동","","02  867 0445"
"3160000","2005","49  ","20050601","20050720","진미명가","서울특별시 구로구 도림로 49-3 (구로동)","서울특별시 구로구 구로동  767번지 167호  ","3160000-101-2004-00021","한식","갈치조림","29.60","구로제4동","상수도전용","02853 2189"
"3160000","2005","66  ","20050601","20050720","예가낙지마을","서울특별시 구로구 신도림로 7 202호 (신도림동 금강리빙스텔)","서울특별시 구로구 신도림동  400번지 1호  금강리빙스텔-202","3160000-101-2003-00029","한식","랍스타구이","125.00","신도림동","상수도전용","0226790808"
"3160000","2005","1   ","20050601","20050720","마포갈비","서울특별시 구로구 고척로19길 44 (개봉동동남주택 101102호)","서울특별시 구로구 개봉동  33번지 23호  동남주택 101102호","3160000-101-2003-00577","한식","생불고기","95.00","개봉제1동","","02 26898074"
"3160000","2004","0023","20040415","20040702","미락한식","서울특별시 구로구 중앙로 101 (고척동)","서울특별시 구로구 고척동  329번지  ","3160000-101-1998-01988","한식","불고기정식","64.85","고척제2동","상수도전용","0226860787"
"3160000","2004","0037","20040415","20040702","영산홍가","서울특별시 구로구 경인로25길 25 1층 (오류동)","서울특별시 구로구 오류동  25번지 9호  1층","3160000-101-2002-00082","한식","홍어삼합","33.00","오류제1동","상수도전용","02 26860755"
"3160000","2003","0243","20030401","20030702","원향원","서울특별시 구로구 개봉로20길 18 (개봉동)","서울특별시 구로구 개봉동  403번지 221호  ","3160000-101-2002-00078","중국식","깐쇼새우","140.00","개봉제2동","상수도전용","0220669292"
