"시군구코드","지정년도","지정번호","신청일자","지정일자","업소명","소재지도로명","소재지지번","허가(신고)번호","업태명","주된음식","영업장면적(㎡)","행정동명","급수시설구분","소재지전화번호"
"3170000","2010","0244","20100930","20100930","금천장어구이","서울특별시 금천구 시흥대로152길 11-43 105~107 109 110호 (독산동 삼부르네상스플러스 )","서울특별시 금천구 독산동  953번지  삼부르네상스플러스","3170000-101-2005-00312","한식","","229.20","독산제3동","상수도전용","02 8662300"
"3170000","2016","01  ","20161226","20161226","맛사랑 쭈꾸미","서울특별시 금천구 시흥대로52길 6 1층 (시흥동)","서울특별시 금천구 시흥동  891번지 4호  1층","3170000-101-2002-05492","한식","식육","115.50","시흥제1동","상수도전용",""
"3170000","2006","0050","20060510","20060710","명동칼국수","서울특별시 금천구 벚꽃로 278 B154호 (가산동 SJ테크노빌)","서울특별시 금천구 가산동  60번지 19호  SJ테크노빌-B154","3170000-101-2005-00133","한식","칼국수","241.20","가산동","상수도전용","0233970699"
"3170000","2016","0003","20161226","20161226","사조회참치","서울특별시 금천구 독산로75길 20 지상1층 (독산동)","서울특별시 금천구 독산동  196번지 33호  ","3170000-101-2014-00227","일식","회","79.38","독산제1동","",""
"3170000","2016","0005","20161226","20161226","서울집","서울특별시 금천구 시흥대로122길 24 지상1층 (독산동)","서울특별시 금천구 독산동  1013번지 9호  지상1층","3170000-101-2014-00031","한식","식육","90.48","독산제4동","상수도전용",""
"3170000","2016","0007","20161226","20161226","큰맘할매순대국밥","서울특별시 금천구 시흥대로71길 44 지상1층 (시흥동)","서울특별시 금천구 시흥동  124번지 10호  지상1층","3170000-101-2007-00084","한식","국밥","52.89","시흥제1동","상수도전용","02 8043651"
"3170000","2010","226 ","20100813","20100930","뽕잎사랑샤브샤브칼국수보쌈","서울특별시 금천구 시흥대로 399 지하1층 B110~112호 (독산동 시티렉스)","서울특별시 금천구 독산동  291번지 5호  시티렉스 지하1층 B110~112호","3170000-101-2005-00251","한식","","107.67","독산제1동","상수도전용",""
"3170000","2016","0002","20161226","20161226","본가집가마솥설렁탕","서울특별시 금천구 시흥대로 269 지상1층 101호 (시흥동 대현오피스텔)","서울특별시 금천구 시흥동  108번지 62호  대현오피스텔 상가 101호","3170000-101-2016-00117","한식","설렁탕","180.05","시흥제1동","","02  804 1175"
"3170000","2004","0098","20040701","20040721","동흥관","서울특별시 금천구 시흥대로63길 20 (시흥동A동 지상1층)","서울특별시 금천구 시흥동  115번지 10호  A동 지상1층","3170000-101-1992-03891","중국식","탕수육","151.04","시흥제1동","상수도전용","02 8033759"
"3170000","2015","0011","20151023","20151130","스시 쥬베이","서울특별시 금천구 가산로 147 지상1층 105호 (가산동 가산지웰에스테이트)","서울특별시 금천구 가산동  140번지 9호  -105","3170000-101-2014-00157","일식","초밥","41.58","가산동","",""
"3170000","2006","0017","20060510","20060710","본가 산해진미","서울특별시 금천구 시흥대로73길 10 (시흥동 지상1층)","서울특별시 금천구 시흥동  108번지 3호  지상1층","3170000-101-1995-04315","한식","탕류","105.95","시흥제1동","상수도전용","02 8083557"
"3170000","2007","016 ","20070510","20070726","춘천옥","서울특별시 금천구 디지털로12길 19 지상2층 (가산동)","서울특별시 금천구 가산동  140번지 38호  지상2층","3170000-101-1985-02850","한식","보쌈","163.80","가산동","상수도전용","02 8689937"
"3170000","2013","0008","20130531","20130716","우렁이네쌈밥","서울특별시 금천구 시흥대로 399 (독산동6 씨티렉스 F505호506호 (시흥대로286))","서울특별시 금천구 독산동  291번지 5호  6 씨티렉스 F505호506호 (시흥대로286)","3170000-101-2004-00236","한식","우렁쌈밥","112.53","독산제1동","상수도전용","02 8933838"
"3170000","2013","0013","20130531","20130716","청진동 해장국","서울특별시 금천구 시흥대로 102 101호 (시흥동)","서울특별시 금천구 시흥동  940번지 4호  -101","3170000-101-2008-00226","한식","선지해장국","109.20","시흥제3동","상수도전용",""
"3170000","2013","0015","20130531","20130716","델리명가 벽산점","서울특별시 금천구 가산디지털1로 219 (가산동벽산디지털밸리6차 B101102호)","서울특별시 금천구 가산동  481번지 4호  벽산디지털밸리6차 B101102호","3170000-101-2009-00111","한식","한식","674.19","가산동","상수도전용","0226273970"
"3170000","2013","0012","20130531","20130716","델리명가","서울특별시 금천구 가산디지털2로 14 (가산동대륭테크노타운12차 B211~B214호(가산디지털2길185))","서울특별시 금천구 가산동  327번지 32호  대륭테크노타운12차 B211~B214호(가산디지털2길185)","3170000-101-2008-00141","한식","한식","677.00","가산동","상수도전용","0220296260"
"3170000","2013","0016","20130531","20130716","델리명가한라점","서울특별시 금천구 가산디지털2로 53 (가산동한라시그마밸리 B115호)","서울특별시 금천구 가산동  345번지 90호  한라시그마밸리 B115호","3170000-101-2010-00007","한식","한식","735.52","가산동","상수도전용","02  63436969"
"3170000","2008","197 ","20080630","20080717","우미정","서울특별시 금천구 시흥대로138길 19 지상1층 (독산동)","서울특별시 금천구 독산동  988번지 11호  ","3170000-101-2001-07048","한식","생선회","94.40","독산제3동","상수도전용","02 8520107"
"3170000","2008","166 ","20080630","20080717","주식회사 대성푸드빌(월드점)","서울특별시 금천구 벚꽃로 254 지하1층  B104호 (가산동 월드메르디앙벤처센타)","서울특별시 금천구 가산동  60번지 24호  월드메르디앙벤처센타 B104호","3170000-101-2004-00036","한식","백반","646.92","가산동","상수도전용","0221137799"
"3170000","2016","0009","20161226","20161226","우곱집(독산점)","서울특별시 금천구 독산로75길 24 지상1층 (독산동)","서울특별시 금천구 독산동  196번지 27호  지상1층","3170000-101-2014-00033","한식","식육","59.01","독산제4동","상수도전용",""
"3170000","2014","0001","20141231","20141231","손군 부대찌개 가산1호점","서울특별시 금천구 벚꽃로 지하 244 B126호 (가산동 벽산디지털밸리5차)","서울특별시 금천구 가산동  60번지 73호  벽산디지털밸리5차 B126호","3170000-101-2007-00324","한식","","114.01","가산동","상수도전용","0220825747"
"3170000","2004","0125","20040701","20040721","한약먹은 생삼겹","서울특별시 금천구 독산로 86 (시흥동지상 1층(독산동길 283))","서울특별시 금천구 시흥동  820번지 0호  지상 1층(독산동길 283)","3170000-101-2000-06311","한식","갈비","79.72","시흥제4동","상수도전용","02 8026771"
