"시군구코드","지정년도","지정번호","신청일자","지정일자","업소명","소재지도로명","소재지지번","허가(신고)번호","업태명","주된음식","영업장면적(㎡)","행정동명","급수시설구분","소재지전화번호"
"3100000","2002","0002","20020522","20020628","제일콩집","서울특별시 노원구 동일로174길 37-8 제일빌딩 12층 (공릉동)","서울특별시 노원구 공릉동  633번지 18호  제일빌딩 12층","3100000-101-1983-00002","한식","두부찌개","214.46","공릉1동","상수도전용","02 9727016"
"3100000","2003","0428","20030919","20031002","명문식당","서울특별시 노원구 동일로217가길 27 (상계동)","서울특별시 노원구 상계동  735번지 5호  1층","3100000-101-1990-00361","한식","부대찌개","88.50","상계6.7동","상수도전용","02 936 2651"
"3100000","2009","0014","20090324","20090710","항도","서울특별시 노원구 노해로75길 14-22 (상계동)","서울특별시 노원구 상계동  708번지 2호  지상2층","3100000-101-1993-03282","일식","대구탕","126.42","상계6.7동","상수도전용","02 9388182"
"3100000","2002","0130","20020522","20020628","향토곱창","서울특별시 노원구 동일로191길 10 (공릉동)","서울특별시 노원구 공릉동  383번지 18호  ","3100000-101-1998-02143","한식","곱창구이","66.36","공릉1동","상수도전용","02 9723492"
"3100000","2015","0008","20151209","20151209","인차이나","서울특별시 노원구 공릉로 167 1층 (공릉동)","서울특별시 노원구 공릉동  411번지 4호  1층","3100000-101-2008-00062","중국식","면류","195.70","공릉2동","","02  971 4009"
"3100000","2009","12  ","20090602","20090710","신의주찹쌀순대","서울특별시 노원구 노해로75길 14-18 (상계동)","서울특별시 노원구 상계동  708번지 0호  ","3100000-101-1994-01269","한식","순대국","94.89","상계6.7동","상수도전용","02 9317766"
"3100000","2015","0019","20151209","20151209","포앤시드니중계점","서울특별시 노원구 동일로203가길 29 (중계동 브라운스톤 중계상가 110호 111호)","서울특별시 노원구 중계동  506번지  브라운스톤 중계상가 110호 111호","3100000-101-2015-00107","외국음식전문점(인도태국등)","쌀국수","79.04","중계2.3동","상수도전용","02  979 1555"
"3100000","2019","0003","20190920","20191030","착한낙지 수락산역점","서울특별시 노원구 동일로242가길 35 1층 (상계동)","서울특별시 노원구 상계동  1115번지 4호  ","3100000-101-2018-00258","한식","삼계탕","200.34","상계1동","","02 9358819"
"3100000","2002","0324","20020522","20020628","부일관","서울특별시 노원구 노원로26길 119 부일관 1층 (상계동)","서울특별시 노원구 상계동  180번지 3호  부일관","3100000-101-1996-01704","한식","돼지갈비","328.40","상계2동","상수도전용","02 9526634"
"3100000","2002","0382","20020520","20020628","안시성","서울특별시 노원구 화랑로 475 12층 (공릉동)","서울특별시 노원구 공릉동  653번지 20호  12층","3100000-101-1998-02516","중국식","짜장면짬뽕","300.25","공릉1동","상수도전용","02  949 3331"
"3100000","2004","0041","20040920","20040930","태능숯불갈비","서울특별시 노원구 한글비석로1길 37 샛말빌딩 1층 (하계동)","서울특별시 노원구 하계동  208번지 1호  샛말빌딩 1층","3100000-101-2004-00010","식육(숯불구이)","돼지갈비","135.49","하계1동","상수도전용","02  974 5074"
"3100000","2005","0013","20050314","20050331","중계동두부명가","서울특별시 노원구 중계로12가길 29 수암빌딩 2(지면접함)층 (중계동)","서울특별시 노원구 중계동  69번지  수암빌딩 2층(지면접함)","3100000-101-2004-00452","한식","된장찌개","220.86","중계본동","상수도전용","9358003"
"3100000","2012","0003","20111114","20120109","명가순대국 만덕이가","서울특별시 노원구 동일로 1700 1층 101102103호 (상계동 1267번지 )","서울특별시 노원구 상계동  1267번지  101102103호","3100000-101-2008-00296","한식","순대국","124.00","상계1동","","02 9317141"
"3100000","2015","0020","20151209","20151209","수락해신탕","서울특별시 노원구 동일로242길 8-10 (상계동 1층)","서울특별시 노원구 상계동  1119번지 34호  1층","3100000-101-2015-00162","한식","해신탕","84.36","상계1동","상수도전용","0262158970"
"3100000","2015","0013","20151209","20151209","춘천왕닭갈비","서울특별시 노원구 동일로203가길 29 2층 212A213214호 (중계동 브라운스톤중계)","서울특별시 노원구 중계동  506번지  브라운스톤 2층-212A2132","3100000-101-2010-00215","한식","닭갈비","94.17","중계2.3동","","02  975 4481"
"3100000","2015","0003","20151209","20151209","경회루","서울특별시 노원구 동일로 1005 지하1층 (공릉동)","서울특별시 노원구 공릉동  597번지 17호  지하1층","3100000-101-2002-07511","한식","정식","486.13","공릉1동","상수도전용","9722774"
