"시군구코드","지정년도","지정번호","신청일자","지정일자","업소명","소재지도로명","소재지지번","허가(신고)번호","업태명","주된음식","영업장면적(㎡)","행정동명","급수시설구분","소재지전화번호"
"3090000","2007","0011","20070402","20070417","통나무식당","서울특별시 도봉구 노해로60길 99 (쌍문동)","서울특별시 도봉구 쌍문동  96번지 9호  ","3090000-101-1992-00528","한식","양념갈비","111.18","쌍문제3동","상수도전용","02 9006644"
"3090000","2013","0036","20131108","20131224","반값소","서울특별시 도봉구 마들로 664-5 101102호 (도봉동)","서울특별시 도봉구 도봉동  636번지 15호  101102호","3090000-101-2012-00025","식육(숯불구이)","식육구이","114.24","도봉제2동","상수도전용","02  34931297"
"3090000","2015","0038","20150811","20151231","더맛있는족발보쌈(방학점)","서울특별시 도봉구 도당로 120 1층 (방학동)","서울특별시 도봉구 방학동  701번지 24호  ","3090000-101-2000-05108","한식","돼지족발","72.60","방학제1동","상수도전용","02  955 5604"
"3090000","2007","0012","20070803","20071008","설담재 설렁탕","서울특별시 도봉구 도봉로 562 지상1층 (창동)","서울특별시 도봉구 창동  715번지 32호  지상1층","3090000-101-1995-00036","한식","설렁탕","320.67","창제5동","상수도전용","02998 0202"
"3090000","2007","0014","20070802","20071008","곤지암할매소머리국밥","서울특별시 도봉구 시루봉로 135 1층 (방학동)","서울특별시 도봉구 방학동  444번지 37호  1층","3090000-101-2005-00296","한식","돼지갈비","175.50","방학제3동","상수도전용","02  34926677"
"3090000","2021","0045","20211215","20211215","신의주찹쌀순대도봉구청점","서울특별시 도봉구 마들로 664-5 104105호 (도봉동)","서울특별시 도봉구 도봉동  636번지 15호  ","3090000-101-2021-00051","한식","","91.63","도봉제2동","",""
"3090000","2002","0008","20020709","20020711","태림산채정식","서울특별시 도봉구 노해로60길 32 (쌍문동)","서울특별시 도봉구 쌍문동  141번지 3호  ","3090000-101-1994-00390","한식","산채정식","125.67","쌍문제3동","상수도전용","02  998 5468"
"3090000","2003","0009","20030121","20030123","도봉산 갈비","서울특별시 도봉구 도봉로 919 (도봉동 지상1층일부 2층 3층전체)","서울특별시 도봉구 도봉동  559번지 27호  지상1층일부 2층 3층전체","3090000-101-1989-03219","식육(숯불구이)","돼지갈비","491.71","도봉제1동","상수도전용","02 9558668"
"3090000","2003","0010","20030118","20030121","원조의정부부대찌게","서울특별시 도봉구 해등로 156 (쌍문동)","서울특별시 도봉구 쌍문동  631번지 1호  ","3090000-101-1998-00928","한식","부대찌게","77.68","쌍문제2동","상수도전용","02 9994466"
"3090000","2007","0013","20070402","20070417","왕골감자탕","서울특별시 도봉구 노해로69길 15 101102103104호 (창동 세정빌딩)","서울특별시 도봉구 창동  10번지 3호  세정빌딩 101102103104호","3090000-101-2005-00269","식육(숯불구이)","감자탕","123.93","창제4동","상수도전용","02 9081909"
"3090000","2011","0027","20110501","20110524","장어가","서울특별시 도봉구 도봉로 911 (도봉동)","서울특별시 도봉구 도봉동  560번지 14호  ","3090000-101-2010-00081","한식","","207.80","도봉제1동","","02 9561171"
"3090000","2021","0044","20211215","20211215","한스친친","서울특별시 도봉구 노해로 341 신원리베르텔 2층 202203204호 (창동)","서울특별시 도봉구 창동  338번지  신원리베르텔-202~4","3090000-101-2019-00136","중국식","","236.00","창제5동","상수도전용","02  990 4143"
"3090000","2021","0043","20211215","20211215","황금정원","서울특별시 도봉구 방학로 312 (방학동)","서울특별시 도봉구 방학동  598번지 1호  ","3090000-101-2010-00114","한식","","194.20","방학제3동","지하수전용","02 9548881"
"3090000","2007","0020","20070801","20071008","Tokyo(도쿄)감자탕","서울특별시 도봉구 마들로 650 (방학동도봉월드 210호)","서울특별시 도봉구 방학동  720번지 33호  도봉월드 210호","3090000-101-2003-00280","한식","감자탕","132.60","방학제1동","상수도전용","0262299797"
"3090000","2002","0001","20020709","20020711","대문한정식","서울특별시 도봉구 시루봉로 139-6 지상1층 (방학동)","서울특별시 도봉구 방학동  436번지 9호  지상1층","3090000-101-1988-02251","한식","송어회","300.48","방학제3동","상수도전용","02 9560843"
"3090000","2008","0021","20080619","20080717","양주큰집전통순대국","서울특별시 도봉구 방학로6길 32 (방학동)","서울특별시 도봉구 방학동  697번지 1호  ","3090000-101-1995-04059","한식","순대국","55.08","방학제1동","상수도전용","0234931110"
"3090000","2002","0002","20020709","20020711","송림각","서울특별시 도봉구 방학로 223 (방학동신동아상가)","서울특별시 도봉구 방학동  271번지 2호  신동아상가","3090000-101-1989-01650","중국식","탕수육","107.37","방학제3동","상수도전용","0234913334"
"3090000","2002","0003","20020711","20020711","하루방 유황오리","서울특별시 도봉구 노해로63나길 8 (창동)","서울특별시 도봉구 창동  261번지 6호  ","3090000-101-1995-03766","한식","오리","87.32","창제5동","상수도전용","02 9915292"
"3090000","2002","0004","20020711","20020711","토영자갈치곰장어","서울특별시 도봉구 노해로69길 15 (창동세정빌딩 107108109호(지상1층))","서울특별시 도봉구 창동  10번지 3호  세정빌딩 107108109호(지상1층)","3090000-101-1991-03662","한식","소고기국밥","92.83","창제4동","상수도전용","02 9992588"
"3090000","2002","0005","20020711","20020711","남원추어탕","서울특별시 도봉구 노해로67길 10 1층 103호 (창동 하나B/D)","서울특별시 도봉구 창동  8번지 1호  ","3090000-101-1996-01687","한식","추어탕","73.87","창제4동","상수도전용","02 9082274"
"3090000","2002","0006","20020709","20020711","뚱보냉면","서울특별시 도봉구 도봉로110길 51 지상23층 (창동)","서울특별시 도봉구 창동  651번지 51호  지상23층","3090000-101-1992-04540","한식","냉면","316.80","창제1동","상수도전용","02 9908063"
"3090000","2007","0015","20070810","20071008","청어진 동태찜","서울특별시 도봉구 도봉로150길 28 (방학동지상1층)","서울특별시 도봉구 방학동  715번지  지상1층","3090000-101-2005-00298","한식","동태찜","96.12","방학제1동","","02 9551554"
"3090000","2007","0016","20070801","20071008","양촌리","서울특별시 도봉구 방학로 102 (방학동)","서울특별시 도봉구 방학동  680번지 25호  ","3090000-101-1999-04610","식육(숯불구이)","소갈비","377.86","방학제1동","상수도전용","02 9547852"
"3090000","2007","0017","20070810","20071008","황해도찹쌀순대","서울특별시 도봉구 마들로 659 (방학동(지상1층))","서울특별시 도봉구 방학동  719번지 14호  (지상1층)","3090000-101-2006-00181","한식","곰탕","66.00","방학제1동","상수도전용","02  9548081"
"3090000","2007","0019","20070802","20071008","그 고기집","서울특별시 도봉구 삼양로146길 6 1층 (쌍문동)","서울특별시 도봉구 쌍문동  423번지 14호  ","3090000-101-2001-05561","식육(숯불구이)","생고기","66.00","쌍문제1동","","02 9928479"
