"시군구코드","지정년도","지정번호","신청일자","지정일자","업소명","소재지도로명","소재지지번","허가(신고)번호","업태명","주된음식","영업장면적(㎡)","행정동명","급수시설구분","소재지전화번호"
"3050000","2011","0009","20111020","20111123","조영환의대양한방숯불갈비","서울특별시 동대문구 고산자로 399 (용두동동양프라자 204호~208호)","서울특별시 동대문구 용두동  40번지 13호  동양프라자 204호~208호","3050000-101-2010-00333","한식","돼지갈비","343.55","용신동","","02 9649595"
"3050000","2013","0013","20130627","20131204","안흥갈비 본점","서울특별시 동대문구 장한로 153 1층 (장안동)","서울특별시 동대문구 장안동  306번지 1호  1층","3050000-101-1984-01262","한식","돼지갈비","95.60","장안제1동","상수도전용","0222467896"
"3050000","2013","0020","20130627","20131204","이수사횟집","서울특별시 동대문구 천호대로85길 10 (장안동1층)","서울특별시 동대문구 장안동  463번지 3호  1층","3050000-101-2010-00352","일식","생선회","148.00","장안제1동","","0222124789"
"3050000","2007","0026","20070621","20070629","면천추어탕","서울특별시 동대문구 천호대로83길 19 1층 (장안동)","서울특별시 동대문구 장안동  417번지 3호  1층","3050000-101-2004-00359","한식","추어탕","66.00","장안제1동","상수도전용",""
"3050000","2015","0001","20150625","20150702","김씨네 돌솥밥 순두부","서울특별시 동대문구 장한로 160 1층 (장안동)","서울특별시 동대문구 장안동  310번지 3호  ","3050000-101-2006-00354","한식","","140.00","장안제1동","상수도전용","0233944598"
"3050000","2007","0052","20070620","20070629","그집","서울특별시 동대문구 천장산로7길 56 (이문동)","서울특별시 동대문구 이문동  264번지 407호  ","3050000-101-1991-02183","한식","설렁탕","95.00","이문제1동","상수도전용","029673110"
"3050000","2006","0016","20060619","20060710","샛집남원추어탕","서울특별시 동대문구 답십리로 310 1층 (장안동)","서울특별시 동대문구 장안동  334번지 2호  ","3050000-101-1998-03627","한식","추어탕","141.90","장안제1동","상수도전용","0222430042"
"3050000","2006","0023","20060619","20060710","신마포갈매기","서울특별시 동대문구 한천로 141 지상1층 (답십리동)","서울특별시 동대문구 답십리동  1번지 49호  ","3050000-101-2000-11826","한식","숯불갈비","196.49","답십리제1동","상수도전용","0222475303"
"3050000","2006","0022","20060619","20060710","홍어집","서울특별시 동대문구 청계천로5길 9 (신설동)","서울특별시 동대문구 신설동  92번지 60호  ","3050000-101-2000-11757","한식","홍어찜","50.49","용신동","상수도전용","0222341644"
"3050000","2009","1   ","20090610","20090630","영화장","서울특별시 동대문구 휘경로 3-8 (이문동)","서울특별시 동대문구 이문동  288번지 23호  ","3050000-101-2008-00380","중국식","굴짬뽕","124.63","이문제1동","","9679595"
