"시군구코드","지정년도","지정번호","신청일자","지정일자","업소명","소재지도로명","소재지지번","허가(신고)번호","업태명","주된음식","영업장면적(㎡)","행정동명","급수시설구분","소재지전화번호"
"3190000","2017","0002","20170922","20171116","김종구참치박사","서울특별시 동작구 동작대로 25-1 (사당동 1층)","서울특별시 동작구 사당동  1031번지 21호  1층","3190000-101-2013-00226","일식","회","160.80","사당제1동","상수도전용","02  523 9261"
"3190000","2017","0003","20170922","20171116","구름산추어탕","서울특별시 동작구 성대로1길 22 지상1층 (상도동)","서울특별시 동작구 상도동  242번지 78호  ","3190000-101-2016-00170","한식","추어탕","136.71","상도제4동","상수도전용","02  822 2719"
"3190000","2013","0023","20131223","20131213","어촌","서울특별시 동작구 상도로 122 (상도동 1층)","서울특별시 동작구 상도동  355번지 8호  1층","3190000-101-2013-00110","한식","생선구이","168.70","상도제4동","상수도전용","02  822 3619"
"3190000","2013","0029","20131223","20131213","대방회집","서울특별시 동작구 여의대방로 134-1 (대방동)","서울특별시 동작구 대방동  417번지 2호  ","3190000-101-2010-00059","일식","회","80.78","대방동","상수도전용","02 8231949"
"3190000","2003","0011","20030925","20031009","푸드100","서울특별시 동작구 사당로30길 154 (사당동)","서울특별시 동작구 사당동  1041번지 28호  ","3190000-101-2002-00393","한식","닭갈비","90.16","사당제1동","상수도전용","02 5229293"
"3190000","2013","0009","20131217","20131213","내고향나주곰탕","서울특별시 동작구 사당로 183 (사당동)","서울특별시 동작구 사당동  219번지 7호  ","3190000-101-2008-00142","한식","곰탕","107.10","사당제3동","상수도전용","02  34762999"
"3190000","2011","0002","20110602","20111130","원할머니보쌈 이수역점","서울특별시 동작구 동작대로27나길 22 (사당동)","서울특별시 동작구 사당동  139번지 63호  ","3190000-101-1993-00627","한식","보쌈","121.09","사당제2동","상수도전용","0234765252"
"3190000","2021","0001","20211015","20211129","정원분식","서울특별시 동작구 사당로28길 5 1층 (사당동)","서울특별시 동작구 사당동  1006번지 1호  ","3190000-101-2018-00034","기타","떡볶이","105.00","사당제1동","","02   5851279"
"3190000","2021","0005","20211015","20211129","가장맛있는족발보라매역점","서울특별시 동작구 상도로 4 (대방동)","서울특별시 동작구 대방동  400번지 5호  ","3190000-101-2010-00055","통닭(치킨)","족발","82.65","대방동","상수도전용","02  823 3989"
"3190000","2021","0007","20211015","20211129","옛날그집","서울특별시 동작구 장승배기로 121-2 1층 (노량진동)","서울특별시 동작구 노량진동  308번지 24호  ","3190000-101-2014-00169","기타","삼겹살","52.23","노량진제2동","상수도전용","02  827 0678"
"3190000","2021","0012","20211015","20211129","마라농장","서울특별시 동작구 장승배기로 138 1층 (노량진동)","서울특별시 동작구 노량진동  233번지 6호  부광장여관","3190000-101-2019-00265","중국식","마라탕","66.00","노량진제1동","",""
