"시군구코드","지정년도","지정번호","신청일자","지정일자","업소명","소재지도로명","소재지지번","허가(신고)번호","업태명","주된음식","영업장면적(㎡)","행정동명","급수시설구분","소재지전화번호"
"3130000","2006","0163","20060630","20060901","석양집","서울특별시 마포구 토정로37길 9 E동 8 9호 (용강동 우성연립)","서울특별시 마포구 용강동  39번지 1호  우성연립","3130000-101-1984-00745","한식","돼지갈비","165.65","용강동","상수도전용","02 7166847"
"3130000","2009","0178","20090622","20090630","석양집","서울특별시 마포구 토정로37길 9 E동 8 9호 (용강동 우성연립)","서울특별시 마포구 용강동  39번지 1호  우성연립","3130000-101-1984-00745","한식","돼지갈비","165.65","용강동","상수도전용","02 7166847"
"3130000","2019","0004","20191010","20191203","홍반장순대전문점","서울특별시 마포구 동교로 213 1층 (동교동)","서울특별시 마포구 동교동  198번지 27호  1층","3130000-101-2017-00702","일식","회","89.67","서교동","",""
"3130000","2016","0025","20161021","20161205","진평925","서울특별시 마포구 망원로 87 2층 (망원동)","서울특별시 마포구 망원동  483번지 2호  2층","3130000-101-2016-00269","한식","","1198.48","망원제1동","",""
"3130000","2016","0014","20161021","20161205","천년각","서울특별시 마포구 월드컵로 164 2층 (성산동)","서울특별시 마포구 성산동  279번지 17호  2층","3130000-101-2014-00340","중국식","짬뽕 짜장 탕수육","160.00","성산제1동","",""
"3130000","2012","0002","20121025","20121120","(주)거구상사(거구장)","서울특별시 마포구 백범로 23 (신수동외 8필지)","서울특별시 마포구 신수동  63번지 14호  외 8필지","3130000-101-1993-01008","한식","갈비.불고기","3310.87","대흥동","상수도전용","02 7153611"
"3130000","2017","0001","20171027","20171208","정성한줄","서울특별시 마포구 마포대로 195 상가4동 108호 (아현동 마포 래미안 푸르지오)","서울특별시 마포구 아현동  774번지  마포 래미안 푸르지오","3130000-101-2016-00909","분식","분식","45.00","아현동","",""
"3130000","2015","0006","20151012","20151202","시골보쌈앤감자옹심이","서울특별시 마포구 월드컵북로 400 지층 01호 (상암동 서울산업진흥원)","서울특별시 마포구 상암동  1602번지  서울산업진흥원 지층-01","3130000-101-2014-00935","한식","구이","294.84","상암동","",""
"3130000","2006","0026","20060621","20060901","쌍마막회","서울특별시 마포구 토정로 257 (용강동)","서울특별시 마포구 용강동  494번지 36호  ","3130000-101-1993-00687","한식","해장국","92.34","용강동","상수도전용","02 7141233"
"3130000","2016","0012","20161021","20161205","백미향","서울특별시 마포구 성지길 27 (합정동1층)","서울특별시 마포구 합정동  371번지 5호  1층","3130000-101-2011-00301","중국식","","149.48","합정동","","02   3128253"
"3130000","2016","0010","20161021","20161205","삼보성","서울특별시 마포구 창전로 32 (구수동외1필지 1층)","서울특별시 마포구 구수동  68번지 32호  외1필지 1층","3130000-101-2008-00454","중국식","","105.36","신수동","상수도전용",""
"3130000","2019","0003","20191010","20191203","장남식당","서울특별시 마포구 토정로33길 5 1층 (용강동)","서울특별시 마포구 용강동  119번지  ","3130000-101-2004-00029","한식","삼겹살구이","118.32","용강동","상수도전용","02 7018611"
"3130000","2011","9   ","20111010","20111110","금이네부대찌개","서울특별시 마포구 마포대로12길 53-1 (공덕동)","서울특별시 마포구 공덕동  242번지 54호  ","3130000-101-2010-00734","한식","부대찌개","65.55","공덕동","",""
"3130000","2009","0073","20090624","20090630","마포나루(1호점)","서울특별시 마포구 마포대로 68 (도화동마포아크로타워 지하0102호)","서울특별시 마포구 도화동  563번지 0호  마포아크로타워 지하0102호","3130000-101-2007-09584","한식","돼지갈비","308.49","공덕동","","02  711 5959"
"3130000","2020","5   ","20201001","20201201","제주삼다돈","서울특별시 마포구 양화로11길 66 12층 (서교동)","서울특별시 마포구 서교동  384번지 10호  ","3130000-101-2014-00967","한식","설렁탕","188.57","서교동","",""
"3130000","2006","0147","20060630","20060901","램랜드","서울특별시 마포구 토정로 255 1층 (용강동)","서울특별시 마포구 용강동  494번지 32호  ","3130000-101-1990-00780","한식","양고기","184.32","용강동","상수도전용","02 7040223"
"3130000","2009","0177","20090622","20090630","램랜드","서울특별시 마포구 토정로 255 1층 (용강동)","서울특별시 마포구 용강동  494번지 32호  ","3130000-101-1990-00780","한식","양고기","184.32","용강동","상수도전용","02 7040223"
"3130000","2007","0252","20071130","20071203","주세풍","서울특별시 마포구 삼개로3길 6 (도화동)","서울특별시 마포구 도화동  204번지 11호  ","3130000-101-1998-00686","한식","참이맛감자탕","83.72","도화동","상수도전용","703 6800"
"3130000","2011","6   ","20111010","20111110","하나유키","서울특별시 마포구 마포대로 25 (마포동)","서울특별시 마포구 마포동  33번지 1호  ","3130000-101-2009-00317","일식","정통일식","388.28","용강동","","716 0011"
"3130000","2013","0043","20131212","20131206","역전회관일구이구","서울특별시 마포구 토정로37길 47 지하1~지상4층 (염리동)","서울특별시 마포구 염리동  173번지 21호  ","3130000-101-2012-00602","한식","바싹불고기","900.69","용강동","","02 7030019"
