"시군구코드","지정년도","지정번호","신청일자","지정일자","업소명","소재지도로명","소재지지번","허가(신고)번호","업태명","주된음식","영업장면적(㎡)","행정동명","급수시설구분","소재지전화번호"
"3210000","2016","0001","20151008","20160720","반포식스 교대역점","서울특별시 서초구 서초대로50길 18 1층 (서초동)","서울특별시 서초구 서초동  1571번지 17호  1층","3210000-101-2015-00192","외국음식전문점(인도태국등)","육개장","191.30","서초제3동","","18006609"
"3210000","2016","0003","20151119","20160720","어랑 생선밥상","서울특별시 서초구 사평대로55길 21-2 1층 (반포동)","서울특별시 서초구 반포동  739번지 19호  1층","3210000-101-1992-07555","한식","생선구이","87.23","반포제1동","상수도전용","02 5163690"
"3210000","2016","0002","20151012","20160720","맷돌로만","서울특별시 서초구 신반포로 22 H동 4호 5호 6호 (반포동)","서울특별시 서초구 반포동  1053번지 H -4호~6","3210000-101-2015-00320","한식","순두부","144.39","반포본동","",""
"3210000","2015","23  ","20141231","20150225","서울만남의광장휴게소 한식당","서울특별시 서초구 양재대로12길 73-71 (원지동 서울만남의광장휴게소 한식당)","서울특별시 서초구 원지동  10번지 16호  서울만남의광장휴게소 한식당","3210000-101-2014-00230","한식","국밥 찌개","91.24","양재제2동","","02  578 3372"
"3210000","2015","18  ","20141231","20150225","리차이","서울특별시 서초구 서초대로25길 17 (방배동1층)","서울특별시 서초구 방배동  875번지 15호  1층","3210000-101-2005-00188","중국식","짬뽕","113.22","방배제4동","상수도전용",""
"3210000","2015","2   ","20141231","20150225","만다린","서울특별시 서초구 강남대로51길 5 3층 (서초동)","서울특별시 서초구 서초동  1338번지 10호  3층전체","3210000-101-2013-00519","중국식","해뭉짬뽕 찹쌀탕수육","136.82","서초제2동","",""
"3210000","2015","27  ","20141231","20150225","홍천한우","서울특별시 서초구 효령로55길 47 (서초동2층일부3층일부)","서울특별시 서초구 서초동  1595번지 8호  2층일부3층일부","3210000-101-2007-00517","한식","등심","272.46","서초제3동","상수도전용",""
"3210000","2015","4   ","20141231","20150225","서초 장어타운","서울특별시 서초구 반포대로28길 77 34층 (서초동)","서울특별시 서초구 서초동  1571번지 30호  3층4층","3210000-101-2012-00411","한식","장어","238.30","서초제3동","",""
"3210000","2015","26  ","20141231","20150225","효소원 순두부와 청국장 그리고 전","서울특별시 서초구 효령로34길 12 1층 (방배동)","서울특별시 서초구 방배동  983번지 8호  1층","3210000-101-2013-00480","한식","청국장","190.80","방배제3동","","02  34713355"
"3210000","2015","20  ","20141231","20150225","엉터리생고기 교대역점","서울특별시 서초구 서초대로55길 3 1층 (서초동 애니빌딩)","서울특별시 서초구 서초동  1696번지 13호  애니빌딩1층","3210000-101-2013-00047","한식","삼겹살","190.74","서초제4동","",""
"3210000","2015","10  ","20141231","20150225","묘오또","서울특별시 서초구 방배로28길 16 (방배동1층)","서울특별시 서초구 방배동  850번지 1호  1층(104호?)","3210000-101-2009-00120","한식","돈가스 우동","99.00","방배제4동","","02  536 5980"
"3210000","2015","12  ","20141231","20150225","호림수산명가","서울특별시 서초구 방배천로 16 2층 (방배동)","서울특별시 서초구 방배동  450번지 1호  2층","3210000-101-1989-03523","회집","생선회 메운탕","255.70","방배제2동","상수도전용","02 5858533"
"3210000","2015","24  ","20141231","20150225","맷돌로만청계산점","서울특별시 서초구 청룡마을3길 11 (신원동)","서울특별시 서초구 신원동  192번지 12호  ","3210000-101-1994-03576","한식","곤드레나물","106.00","내곡동","상수도전용","02 5749691"
"3210000","2015","5   ","20141231","20150225","서초갈비","서울특별시 서초구 반포대로 12 2층 (서초동)","서울특별시 서초구 서초동  1451번지 77호  2층","3210000-101-2013-00182","한식","등심","187.21","서초제3동","","02  582 2988"
"3210000","2014","0024","20131230","20140121","수원본갈비1993","서울특별시 서초구 반포대로21길 36 (서초동)","서울특별시 서초구 서초동  1511번지 12호  ","3210000-101-2011-00345","한식","감자탕","109.10","서초제3동","","02  521 1727"
"3210000","2014","0019","20131230","20140121","강남역 파스타","서울특별시 서초구 서초대로73길 24 (서초동)","서울특별시 서초구 서초동  1307번지 4호  ","3210000-101-1988-10894","경양식","스테이크","477.02","서초제4동","상수도전용","02  34820959"
"3210000","2014","0002","20131230","20140121","임광루","서울특별시 서초구 방배로 28 1층 9호 1층 10호 (방배동)","서울특별시 서초구 방배동  1024번지 4호  1층 9호 1층 10호","3210000-101-1986-12648","중국식","짜장면","120.48","방배제3동","상수도전용","02 5832460"
"3210000","2014","0005","20131230","20140121","사조참치(사당역점)","서울특별시 서초구 방배천로2길 12 지하1층 (방배동)","서울특별시 서초구 방배동  446번지 2호  지하1층","3210000-101-2004-00516","일식","참치회","309.00","방배제2동","상수도전용","02 5236784"
