"시군구코드","지정년도","지정번호","신청일자","지정일자","업소명","소재지도로명","소재지지번","허가(신고)번호","업태명","주된음식","영업장면적(㎡)","행정동명","급수시설구분","소재지전화번호"
"3030000","2022","0132","20211101","20220118","다현목포낙지","서울특별시 성동구 왕십리로24길 9 (도선동지상1층)","서울특별시 성동구 도선동  201번지 6호  지상1층","3030000-101-1995-05722","한식","연포탕","89.82","왕십리도선동","상수도전용","02  22984550"
"3030000","2022","0138","20211101","20220118","주)비사벌","서울특별시 성동구 왕십리로6길 1-2 1층 (성수동1가)","서울특별시 성동구 성수동1가  656번지 448호  ","3030000-101-1997-04422","한식","콩나물국밥","135.60","성수1가제1동","상수도전용","02 4629202"
"3030000","2022","0139","20211101","20220118","민정식당 서울숲직영점","서울특별시 성동구 상원길 51 12층 (성수동1가)","서울특별시 성동구 성수동1가  656번지 387호  ","3030000-101-2016-00183","한식","설렁탕","141.95","성수1가제2동","","000206443838"
"3030000","2022","0133","20211101","20220118","천미향","서울특별시 성동구 성수일로10길 26 2층 216217218219호 (성수동2가)","서울특별시 성동구 성수동2가  284번지 62호  ","3030000-101-2019-00235","중국식","차돌짬뽕","225.70","성수2가제1동","","0234994488"
"3030000","2022","0410","20211101","20220118","동해루","서울특별시 성동구 고산자로8길 26 1층 (행당동)","서울특별시 성동구 행당동  128번지 456호  ","3030000-101-1988-03762","중국식","짜장면","110.88","사근동","상수도전용","0222925342"
"3030000","2022","0136","20211101","20220118","라리에또","서울특별시 성동구 사근동길 12 (행당동(지상1층))","서울특별시 성동구 행당동  16번지 12호  (지상1층)","3030000-101-2006-00071","경양식","스파게티","51.76","사근동","","0222819241"
"3030000","2022","0134","20211101","20220118","남원추어탕","서울특별시 성동구 용답중앙11길 13 (용답동)","서울특별시 성동구 용답동  96번지 8호  ","3030000-101-1978-05891","한식","추어탕","135.60","용답동","상수도전용","0222134024"
"3030000","2022","0135","20211101","20220118","참진한순대국","서울특별시 성동구 사근동길 56 (사근동(1층))","서울특별시 성동구 사근동  176번지 10호  (1층)","3030000-101-2005-00040","김밥(도시락)","순대국","45.50","사근동","","0222992750"
"3030000","2022","0130","20211101","20220118","메밀촌 봉평막국수","서울특별시 성동구 독서당로48길 8-1 (금호동4가)","서울특별시 성동구 금호동4가  677번지 1호  ","3030000-101-2001-06916","분식","막국수","33.20","금호4가동","상수도전용","0222827270"
"3030000","2022","0129","20211101","20220118","청년감자탕순대국(왕십리역점)","서울특별시 성동구 마조로5길 5 (행당동)","서울특별시 성동구 행당동  19번지 48호  ","3030000-101-1989-05282","한식","샤브샤브","79.56","사근동","상수도전용","0222942020"
"3030000","2022","0137","20211101","20220118","시원(SEAONE)","서울특별시 성동구 상원10길 7 (성수동1가(지상1층))","서울특별시 성동구 성수동1가  13번지 66호  (지상1층)","3030000-101-2005-00172","한식","회덮밥","60.48","성수1가제2동","상수도전용","02 4669722"
"3030000","2022","0131","20211101","20220118","용가네","서울특별시 성동구 금호산2길 13 (금호동3가)","서울특별시 성동구 금호동3가  951번지 2호  ","3030000-101-2014-00299","한식","삼합","49.00","금호2.3가동","","0262455353"
"3030000","2021","0147","20201101","20210118","송담추어탕","서울특별시 성동구 아차산로7길 46 1층 (성수동2가)","서울특별시 성동구 성수동2가  289번지 177호  ","3030000-101-1981-03528","한식","추어탕","199.00","성수2가제1동","상수도전용","02 4633733"
"3030000","2021","0144","20201101","20210118","대촌정","서울특별시 성동구 마장로23길 4 (홍익동)","서울특별시 성동구 홍익동  112번지  ","3030000-101-1985-04894","한식","닭도리탕","35.42","왕십리도선동","상수도전용","0222950421"
"3030000","2021","0151","20201101","20210118","부부요리단","서울특별시 성동구 독서당로40길 25-1 1층 (옥수동)","서울특별시 성동구 옥수동  392번지  ","3030000-101-2014-00092","한식","제주흑돼지 수육","57.93","옥수동","",""
"3030000","2021","0142","20201101","20210118","신신원","서울특별시 성동구 광나루로 290 (성수동2가)","서울특별시 성동구 성수동2가  280번지 41호  ","3030000-101-1981-03691","중국식","","89.95","성수2가제1동","상수도전용","02 4998940"
"3030000","2021","0149","20201101","20210118","싸리골","서울특별시 성동구 광나루로 287 지상1층 (송정동)","서울특별시 성동구 송정동  67번지 18호  지상1층","3030000-101-2002-00497","한식","제육쌈밥","123.00","송정동","상수도전용","02 4635551"
"3030000","2021","0143","20201101","20210118","아오미","서울특별시 성동구 왕십리로4길 20 (성수동1가)","서울특별시 성동구 성수동1가  656번지 378호  ","3030000-101-2001-07157","일식","","73.73","성수1가제2동","상수도전용","02 4648775"
"3030000","2021","0141","20201101","20210118","소설옥","서울특별시 성동구 독서당로 296-11 (금호동4가)","서울특별시 성동구 금호동4가  565번지 1호  ","3030000-101-2000-06491","한식","","38.94","금호4가동","상수도전용","0222994196"
"3030000","2021","0140","20201101","20210118","꽃보다족발","서울특별시 성동구 왕십리로24길 16 지상1층 (도선동)","서울특별시 성동구 도선동  163번지  지상1층","3030000-101-2008-00218","한식","","72.40","왕십리도선동","","02  22915853"
"3030000","2021","0148","20201101","20210118","목금","서울특별시 성동구 왕십리로2길 34 1층 (성수동1가)","서울특별시 성동구 성수동1가  656번지 1661호  ","3030000-101-2020-00090","경양식","함박스테이크","36.23","성수1가제1동","",""
"3030000","2021","138 ","20201101","20210118","한방닭한마리","서울특별시 성동구 왕십리로24길 12 1층 (도선동)","서울특별시 성동구 도선동  161번지  계림빌딩","3030000-101-2019-00135","한식","","20.50","왕십리도선동","",""
"3030000","2021","0150","20201101","20210118","손박사삼겹살","서울특별시 성동구 상원길 40 상가동 106호107호 (성수동1가 뚝섬현대아파트)","서울특별시 성동구 성수동1가  13번지 157호  ","3030000-101-1992-02574","호프/통닭","칼국수","50.24","성수1가제1동","상수도전용","02 4661929"
"3030000","2021","0146","20201101","20210118","푸드카페","서울특별시 성동구 왕십리로5길 10 1층 (성수동1가)","서울특별시 성동구 성수동1가  656번지 940호  ","3030000-101-2019-00125","분식","김밥","89.10","성수1가제1동","",""
"3030000","2019","0008","20191016","20191223","온량","서울특별시 성동구 서울숲4길 26-10 1층 (성수동1가)","서울특별시 성동구 성수동1가  668번지 54호  ","3030000-101-2018-00181","경양식","파스타","80.40","성수1가제1동","",""
"3030000","2019","0009","20191016","20191223","성일한우정육점식당","서울특별시 성동구 아차산로3길 9 1~2층 (성수동1가)","서울특별시 성동구 성수동1가  656번지 835호  1~2층","3030000-101-2017-00267","한식","등심","89.84","성수1가제1동","상수도전용",""
"3030000","2019","0022","20191016","20191223","오캄","서울특별시 성동구 왕십리로 410 L동 1층 133호 (하왕십리동 센트라스)","서울특별시 성동구 하왕십리동  1070번지  센트라스","3030000-101-2018-00256","경양식","스테이크 파스타","126.10","왕십리제2동","",""
"3030000","2019","0012","20191016","20191223","승리원","서울특별시 성동구 왕십리로 78 12층 (성수동1가)","서울특별시 성동구 성수동1가  656번지 435호  ","3030000-101-1995-01898","중국식","탕수육","180.29","성수1가제1동","상수도전용","02 4666789"
"3030000","2019","0023","20191016","20191223","봉평골 메밀막국수","서울특별시 성동구 고산자로 284 2층 203호 (행당동)","서울특별시 성동구 행당동  192번지 29호  성동샤르망-203","3030000-101-2017-00383","한식","메밀막국수","75.60","행당제1동","상수도전용","0222964894"
"3030000","2019","0004","20191016","20191223","정 참치","서울특별시 성동구 성수일로8길 39 2층 202호 (성수동2가)","서울특별시 성동구 성수동2가  289번지 14호  ","3030000-101-2010-00190","호프/통닭","초밥","89.39","성수2가제1동","","02 4671071"
"3030000","2019","0017","20191016","20191223","최영희 언양불고기","서울특별시 성동구 무학봉28길 21 (행당동 286-12 지상1층)","서울특별시 성동구 행당동  286번지 12호  지상1층","3030000-101-2011-00200","한식","언양불고기","72.60","행당제1동","","02  22946077"
"3030000","2019","0016","20191016","20191223","이북집찹쌀순대","서울특별시 성동구 성수이로20길 10 (성수동2가)","서울특별시 성동구 성수동2가  273번지 24호  ","3030000-101-1996-04839","한식","순대국밥","83.60","성수2가제1동","상수도전용","02 4686856"
