"시군구코드","지정년도","지정번호","신청일자","지정일자","업소명","소재지도로명","소재지지번","허가(신고)번호","업태명","주된음식","영업장면적(㎡)","행정동명","급수시설구분","소재지전화번호"
"3140000","2019","0003","20191011","20191127","중화요리 온","서울특별시 양천구 공항대로 630 1층 (목동 어바니엘)","서울특별시 양천구 목동  514번지 18호  어바니엘","3140000-101-2004-00197","중국식","자장면","105.40","목2동","상수도전용","0226450688"
"3140000","2019","0004","20191011","20191127","남원골명품추어탕","서울특별시 양천구 화곡로 95 (신월동)","서울특별시 양천구 신월동  23번지 21호  ","3140000-101-2004-00313","한식","추어탕","124.03","신월5동","상수도전용","0226084655"
"3140000","2019","0006","20191011","20191127","낭만각 해주냉면","서울특별시 양천구 오목로 178 (신정동 1층)","서울특별시 양천구 신정동  952번지 5호  1층","3140000-101-2011-00177","중국식","자장면","171.00","신정4동","","02  26038282"
"3140000","2019","0005","20191011","20191127","등촌칼국수","서울특별시 양천구 화곡로 100 1층 (신월동)","서울특별시 양천구 신월동  64번지 2호  ","3140000-101-2007-00027","한식","칼국수","295.70","신월5동","상수도전용","0226025515"
"3140000","2019","0007","20191011","20191127","섬어부밥상","서울특별시 양천구 신정중앙로 85 로데오프라자 2층 204~205호 (신정동)","서울특별시 양천구 신정동  886번지 6호  로데오프라자-204~205","3140000-101-2015-00258","한식","낙지볶음","167.64","신정4동","","0226941100"
"3140000","2018","0115","20181101","20181130","킹콩부대찌개양천구청점","서울특별시 양천구 목동동로 73 양지빌딩 ll 2층 202호 (신정동)","서울특별시 양천구 신정동  323번지 12호  양지빌딩 ll","3140000-101-2016-00289","한식","부대찌개","104.52","신정7동","상수도전용","0226551233"
"3140000","2018","0108","20181101","20181130","서울소머리국밥","서울특별시 양천구 오목로 32 1층 (신월동)","서울특별시 양천구 신월동  518번지 5호  1층","3140000-101-2014-00271","한식","소머리국밥","167.44","신월4동","","0226908777"
"3140000","2018","0106","20181101","20181130","명태어장","서울특별시 양천구 중앙로 311 지하 1층 01호 (신월동 리슈리안)","서울특별시 양천구 신월동  500번지 21호  리슈리안","3140000-101-2016-00088","한식","명태조림","138.91","신월2동","","0220658835"
"3140000","2018","0065","20181101","20181130","회바다수산","서울특별시 양천구 신월로 111 1층 (신월동)","서울특별시 양천구 신월동  982번지 4호  ","3140000-101-2018-00285","일식","회","84.53","신월7동","","0260850018"
"3140000","2018","0114","20181101","20181130","정짜장","서울특별시 양천구 공항대로 634 지상2층 (목동)","서울특별시 양천구 목동  515번지  지상2층","3140000-101-2017-00228","중국식","탕수육","90.00","목2동","","02  26538288"
