"시군구코드","지정년도","지정번호","신청일자","지정일자","업소명","소재지도로명","소재지지번","허가(신고)번호","업태명","주된음식","영업장면적(㎡)","행정동명","급수시설구분","소재지전화번호"
"3180000","2016","0002","20160610","20160826","돌배기집(영등포역점)","서울특별시 영등포구 영중로4길 6-1 (영등포동3가1층)","서울특별시 영등포구 영등포동3가  10번지 27호  1층","3180000-101-1986-10338","한식","차돌박이","164.30","영등포동","상수도전용","0226766070"
"3180000","2016","0003","20160610","20160826","돈떼목장","서울특별시 영등포구 영등포로 384-1 1층 (신길동)","서울특별시 영등포구 신길동  65번지 40호  1층","3180000-101-2015-00336","한식","돼지갈비","92.00","신길제1동","",""
"3180000","2016","0004","20160610","20160826","호수삼계탕","서울특별시 영등포구 도림로 282 (신길동)","서울특별시 영등포구 신길동  342번지 134호  ","3180000-101-2000-13108","한식","삼계탕","66.15","신길제5동","상수도전용","02 8314111"
"3180000","2016","0001","20160610","20160826","평가옥(여의도점)","서울특별시 영등포구 여의대방로 379 (여의도동 제일빌딩 지하1층 101112호)","서울특별시 영등포구 여의도동  44번지 35호  제일빌딩 지하1층 101112호","3180000-101-2014-00317","한식","어복쟁반","401.95","여의동","",""
"3180000","2014","0008","20111201","20141125","(유)아웃백스테이크하우스코리아 여의도점","서울특별시 영등포구 국제금융로8길 6 (여의도동신영증권 빌딩 지하1층)","서울특별시 영등포구 여의도동  34번지 12호  신영증권 빌딩 지하1층","3180000-101-2003-00684","경양식","스테이크","561.15","여의동","","02  20548365"
"3180000","2014","0002","20141103","20141125","율도","서울특별시 영등포구 국제금융로6길 30 1동  118호 (여의도동백상빌딩)","서울특별시 영등포구 여의도동  35번지 2호    1 백상빌딩- 118","3180000-101-1998-06410","일식","생선회","112.50","여의동","상수도전용","0207848877"
"3180000","2014","0001","20141103","20141125","선유참치","서울특별시 영등포구 영신로17길 3 (영등포동외1필지 지하1층(전체))","서울특별시 영등포구 영등포동  618번지 55호  외1필지 지하1층(전체)","3180000-101-2011-00425","한식","한정식","322.75","영등포제2동","상수도전용","02  847 5888"
"3180000","2014","0003","20141120","20141125","값진식육","서울특별시 영등포구 선유로 58-4 1층 (문래동3가)","서울특별시 영등포구 문래동3가  77번지 43호  1층","3180000-101-2012-00480","한식","식육","160.90","문래동","상수도전용","0226349288"
"3180000","2013","7   ","20131111","20131129","이태원천상여의도점","서울특별시 영등포구 국회대로68길 17 (여의도동)","서울특별시 영등포구 여의도동  14번지 34호  ","3180000-101-2000-13860","일식","회스시","163.00","여의동","상수도전용","02 7853171"
"3180000","2013","5   ","20130625","20130717","나주곰탕","서울특별시 영등포구 영등포로 216-1 1층 (영등포동3가)","서울특별시 영등포구 영등포동3가  6번지 11호  1층","3180000-101-2012-00458","한식","곰탕","231.00","영등포동","","0226787898"
"3180000","2013","1   ","20130625","20130717","원양참치","서울특별시 영등포구 당산로32길 5 (당산동3가)","서울특별시 영등포구 당산동3가  220번지 0호  ","3180000-101-1991-07160","일식","참치회","91.83","당산제1동","상수도전용","0226710033"
"3180000","2013","2   ","20130625","20130717","나주곰탕","서울특별시 영등포구 여의나루로 113 (여의도동)","서울특별시 영등포구 여의도동  21번지 4호  ","3180000-101-1993-05958","한식","곰탕","106.34","여의동","상수도전용","02 7843177"
"3180000","2012","0012","20121226","20121226","(주)부여집","서울특별시 영등포구 선유동1로 24 1층 (당산동2가)","서울특별시 영등포구 당산동2가  162번지 13호  1층","3180000-101-2012-00073","한식","꼬리곰탕","74.35","당산제1동","상수도전용","0226330666"
"3180000","2012","0016","20121226","20121226","백악관웨딩문화원","서울특별시 영등포구 신길로 89 (신길동)","서울특별시 영등포구 신길동  253번지 251호  ","3180000-101-2000-13796","뷔페식","부페","1333.25","신길제5동","상수도전용","02 8427200"
"3180000","2012","0023","20121226","20121226","올라6","서울특별시 영등포구 여의대로 8 (여의도동여의도파크센터 지하 105호~110호)","서울특별시 영등포구 여의도동  28번지 3호  여의도파크센터 지하 105호~110호","3180000-101-2009-00133","경양식","파스타스테이크","574.78","여의동","","0220707220"
"3180000","2012","0020","20121226","20121226","(주)동원홈푸드 한국투자증권점","서울특별시 영등포구 여의대로 38 (여의도동 지하1층)","서울특별시 영등포구 여의도동  27번지 1호  지하1층","3180000-101-2009-00225","한식","한식샐러드","896.66","여의동","","0232766991"
"3180000","2012","0014","20121226","20121226","그랜드컨벤션센터","서울특별시 영등포구 양평로 58 (당산동6가 지상2층(일부))","서울특별시 영등포구 당산동6가  337번지 23호  지상2층(일부)","3180000-101-2011-00514","뷔페식","부페","1840.80","당산제2동","상수도전용","0236677103"
"3180000","2012","10  ","20120702","20120718","하이서울유스호스텔지점","","서울특별시 영등포구 영등포동7가  57번지  하이서울유스호스텔 지상1층","3180000-101-2011-00132","한식","백반","304.01","영등포동","상수도전용","07077324600"
"3180000","2012","8   ","20120702","20120718","창고43본점","서울특별시 영등포구 국제금융로6길 33 중2층 (여의도동)","서울특별시 영등포구 여의도동  36번지 2호  ","3180000-101-2011-00349","한식","안심등심","546.78","여의동","상수도전용","02 7869912"
"3180000","2011","11  ","20111116","20111206","양소원","서울특별시 영등포구 선유로 248-15 (양평동4가)","서울특별시 영등포구 양평동4가  32번지 14호  ","3180000-101-1996-10623","한식","특양구이","95.78","양평제2동","상수도전용","0226359292"
"3180000","2011","12  ","20111116","20111206","한울푸드","서울특별시 영등포구 양평로 149 (양평동5가우림라이온스밸리1차 A동 지하 101호)","서울특별시 영등포구 양평동5가  39번지  우림라이온스밸리1차 A동 지하 101호","3180000-101-2009-00428","한식","한식부페","333.70","양평제2동","","0226387100"
"3180000","2011","5   ","20110609","20110728","샤브맘","서울특별시 영등포구 영중로 133 (영등포동8가1층 103호)","서울특별시 영등포구 영등포동8가  68번지  1층 103호","3180000-101-2010-00032","한식","소고기 샤브샤브","240.00","영등포동","상수도전용","0226770169"
