"시군구코드","지정년도","지정번호","신청일자","지정일자","업소명","소재지도로명","소재지지번","허가(신고)번호","업태명","주된음식","영업장면적(㎡)","행정동명","급수시설구분","소재지전화번호"
"3110000","2021","0011","20211112","20211112","미스터초밥왕","서울특별시 은평구 통일로71길 32-3 서교빌 1층 (대조동)","서울특별시 은평구 대조동  3번지 35호  서교빌 1층","3110000-101-2018-00103","일식","모듬초밥","40.00","대조동","상수도전용",""
"3110000","2021","0004","20211112","20211112","오광참치","서울특별시 은평구 갈현로36길 20 2층 (갈현동)","서울특별시 은평구 갈현동  405번지 1호  2층","3110000-101-2008-00320","일식","참치회","88.72","갈현제1동","상수도전용",""
"3110000","2021","0003","20211112","20211112","나들목 아구찜 곱창전골","서울특별시 은평구 갈현로36길 17-1 1층 (갈현동)","서울특별시 은평구 갈현동  406번지 5호  1층","3110000-101-2000-07171","한식","아구찜","39.63","갈현제1동","상수도전용",""
"3110000","2021","0010","20211112","20211112","차이찬","서울특별시 은평구 서오릉로 122 1층 (대조동)","서울특별시 은평구 대조동  48번지 40호  1층","3110000-101-2018-00090","중국식","자장면","97.20","대조동","상수도전용",""
"3110000","2021","0001","20211112","20211112","명태어장","서울특별시 은평구 진흥로15길 18 1층 (불광동)","서울특별시 은평구 불광동  605번지 1호  1층","3110000-101-2017-00270","한식","매콤명태조림 시래기통갑오징어조림","198.00","불광제1동","상수도전용",""
"3110000","2021","0007","20211112","20211112","남원추어탕","서울특별시 은평구 연서로 170 12층 (대조동)","서울특별시 은평구 대조동  222번지 10호  12층","3110000-101-1998-06344","한식","추어탕","103.64","대조동","상수도전용","02 3891070"
"3110000","2021","0009","20211112","20211112","도화원","서울특별시 은평구 연서로 167 수임빌딩 1층 (갈현동)","서울특별시 은평구 갈현동  463번지 22호  수임빌딩 1층","3110000-101-2019-00412","중국식","자장면","132.00","갈현제1동","상수도전용",""
"3110000","2021","0012","20211112","20211112","녹파랑","서울특별시 은평구 녹번로 11 제A동 제1층 (녹번동)","서울특별시 은평구 녹번동  82번지 1호  제A동 제1층","3110000-101-2019-00229","중국식","자장면 짬뽕","106.56","녹번동","상수도전용",""
"3110000","2021","0006","20211112","20211112","참숯 왕대박 갈비 전문점","서울특별시 은평구 서오릉로8길 3-1 1층 (대조동)","서울특별시 은평구 대조동  55번지 10호  1층","3110000-101-2005-00323","한식","돼지갈비","89.25","대조동","상수도전용","02 3889192"
"3110000","2021","0005","20211112","20211112","삼오순대국","서울특별시 은평구 불광로1길 2 (대조동)","서울특별시 은평구 대조동  9번지 17호  ","3110000-101-1990-05363","한식","순대국","98.85","대조동","상수도전용","0203872605"
"3110000","2020","0100","20201102","20201110","선조네","서울특별시 은평구 진관2로 12 메이플카운티2차 제1층 제101호102호 (진관동)","서울특별시 은평구 진관동  100번지 6호  메이플카운티2차 제1층 제101호102호","3110000-101-2018-00428","한식","우렁쌈밥","106.85","진관동","상수도전용","02 3567959"
"3110000","2020","0090","20201102","20201110","홍가네 사골곰탕","서울특별시 은평구 통일로82길 15 (불광동 지하2층2호)","서울특별시 은평구 불광동  484번지 142호  지하2층2호","3110000-101-2014-00133","한식","사골곰탕","95.29","불광제2동","상수도전용","02 3889269"
"3110000","2020","0089","20201102","20201110","개성진 찹쌀 순대","서울특별시 은평구 통일로87길 6 (갈현동 1층)","서울특별시 은평구 갈현동  392번지 10호  1층","3110000-101-2016-00354","한식","순대국","86.00","갈현제1동","상수도전용","02 3571124"
"3110000","2020","0097","20201102","20201110","백년토종삼계탕","서울특별시 은평구 응암로 209 (응암동(지상1층))","서울특별시 은평구 응암동  577번지 43호  (지상1층)","3110000-101-2004-00171","한식","삼계탕","86.05","응암제1동","상수도전용","02 3853086"
"3110000","2020","0092","20201102","20201110","한우리","서울특별시 은평구 불광로 40-7 (불광동 12층)","서울특별시 은평구 불광동  281번지 86호  12층","3110000-101-2013-00136","한식","한우","103.90","불광제1동","상수도전용","02 3839292"
"3110000","2020","0099","20201110","20201110","설악추어탕한모둠순대국","서울특별시 은평구 서오릉로2길 13 1층 (녹번동)","서울특별시 은평구 녹번동  83번지 43호  1층","3110000-101-2003-00132","한식","추어탕","94.09","녹번동","상수도전용","02385 0600"
"3110000","2020","0101","20201102","20201110","봉평옹심이메밀칼국수(역촌점)","서울특별시 은평구 은평로3길 9 1층 (신사동)","서울특별시 은평구 신사동  1번지 89호  1층","3110000-101-2002-00434","한식","메밀칼국수","63.97","신사제1동","상수도전용","02 3563680"
"3110000","2020","0096","20201102","20201110","지호한방삼계탕","서울특별시 은평구 연서로 47 1층 (역촌동)","서울특별시 은평구 역촌동  63번지 4호  1층","3110000-101-2005-00087","한식","삼계탕","106.22","역촌동","상수도전용","02 4947960"
"3110000","2020","0103","20201102","20201110","고향옥 얼큰순대국","서울특별시 은평구 진관2로 15-8 웅신 미켈란의아침 상가106호107호 (진관동)","서울특별시 은평구 진관동  73번지  웅신 미켈란의아침 상가106호107호","3110000-101-2019-00186","한식","순대국","104.00","진관동","상수도전용","02 3523569"
"3110000","2020","0094","20201102","20201110","할매순대국","서울특별시 은평구 증산서길 126 (증산동)","서울특별시 은평구 증산동  165번지 20호  ","3110000-101-1984-01123","한식","순대국","35.50","증산동","상수도전용","02 3023483"
"3110000","2019","0004","20190930","20191122","웃는돌 참치","서울특별시 은평구 연서로29길 17-4 1층 (갈현동)","서울특별시 은평구 갈현동  453번지 14호  1층","3110000-101-2005-00030","일식","참치","88.94","갈현제1동","상수도전용","02 3565800"
"3110000","2019","0003","20190926","20191122","태성춘 골뱅이 신사","서울특별시 은평구 불광로 6 지상1층 (대조동)","서울특별시 은평구 대조동  14번지 65호  지상1층","3110000-101-2006-00157","한식","생삼겹","97.31","대조동","상수도전용","02 3543390"
"3110000","2019","0001","20190919","20191122","차이몬스터","서울특별시 은평구 불광천길 334 (응암동 1층)","서울특별시 은평구 응암동  591번지 18호  1층","3110000-101-2015-00123","중국식","탕수육","79.00","응암제3동","상수도전용","02 3057843"
"3110000","2019","0002","20190925","20191122","두메골쌈밥","서울특별시 은평구 진흥로 162 1층 (녹번동)","서울특별시 은평구 녹번동  131번지 75호  1층","3110000-101-2017-00347","한식","쌈밥","157.90","녹번동","상수도전용","02 3821515"
"3110000","2018","0009","20180919","20181119","장충당 역촌점","서울특별시 은평구 진흥로 33 지상1층 (역촌동)","서울특별시 은평구 역촌동  42번지 62호  (지상1층)","3110000-101-2012-00230","한식","족발","71.31","역촌동","상수도전용","02 3897771"
"3110000","2018","0007","20180920","20181119","합정오리농장(응암점)","서울특별시 은평구 증산로23길 27 2층 (신사동)","서울특별시 은평구 신사동  26번지 45호  2층","3110000-101-2018-00153","한식","오리백숙","82.50","신사제1동","상수도전용","02 3035833"
"3110000","2018","0002","20180918","20181119","장충당 녹번점","서울특별시 은평구 은평로 202 1층 (응암동)","서울특별시 은평구 응암동  74번지 4호  ","3110000-101-2015-00146","한식","족발","45.00","응암제1동","상수도전용","02 3837772"
"3110000","2018","0008","20180919","20181119","무안갯벌낙지","서울특별시 은평구 진흥로 11 12층 (역촌동)","서울특별시 은평구 역촌동  44번지 34호  12층","3110000-101-1986-00084","한식","낙지전골","204.92","역촌동","상수도전용","02 3923292"
"3110000","2018","0010","20180928","20181119","효면옥","서울특별시 은평구 증산로 429 2층 (신사동)","서울특별시 은평구 신사동  34번지 8호  2층","3110000-101-2002-00191","한식","냉면","203.00","신사제1동","상수도전용","02 3037300"
"3110000","2018","0006","20180928","20181119","뚜띠쿠치나(응암점)","서울특별시 은평구 증산로 465 1층 (신사동)","서울특별시 은평구 신사동  23번지 56호  1층","3110000-101-2018-00054","경양식","피자 파스타","118.80","신사제2동","상수도전용",""
"3110000","2017","0005","20170920","20171117","불낙쭈","서울특별시 은평구 통일로 863-21 1동 1층 (갈현동)","서울특별시 은평구 갈현동  402번지 25호 1 1층","3110000-101-2006-00126","한식","낙지 쭈꾸미","63.33","갈현제1동","상수도전용","02 3866005"
"3110000","2017","0014","20170925","20171117","하동 우렁추어탕","서울특별시 은평구 응암로 366 101동 1층 S234호 (녹번동 해주드림빌)","서울특별시 은평구 녹번동  279번지 1호  101동 1층 S234호","3110000-101-2017-00122","한식","추어탕","220.00","녹번동","상수도전용","02 3552666"
"3110000","2017","0026","20170929","20171117","우정갈비","서울특별시 은평구 증산서길 79 상가동 1층 101호 (증산동)","서울특별시 은평구 증산동  255번지  상가동 1층 101호","3110000-101-1983-03002","한식","돼지갈비","60.90","증산동","상수도전용","02  304 5526"
