"시군구코드","지정년도","지정번호","신청일자","지정일자","업소명","소재지도로명","소재지지번","허가(신고)번호","업태명","주된음식","영업장면적(㎡)","행정동명","급수시설구분","소재지전화번호"
"3010000","2021","0003","20211007","20211103","정동길","서울특별시 중구 정동길 37 12층 (정동)","서울특별시 중구 정동  11번지 8호  ","3010000-101-2013-00177","한식","김치찌개 김치찜 제육볶음","75.21","소공동","","02318 3556"
"3010000","2021","0002","20210907","20211103","흥인동145","서울특별시 중구 퇴계로73길 28 (흥인동(지상1층))","서울특별시 중구 흥인동  145번지  (지상1층)","3010000-101-2009-00066","한식","고기","132.24","신당동","","02  22310678"
"3010000","2021","0004","20211012","20211103","만족오향족발 동대문점","서울특별시 중구 을지로43길 9-4 (을지로6가 123층)","서울특별시 중구 을지로6가  18번지 77호  123층","3010000-101-1981-10438","한식","족발","165.77","광희동","상수도전용","0222710880"
"3010000","2021","0006","20211021","20211103","불닭발 동대문엽기떡볶이 동대문직영점","서울특별시 중구 장충단로 249-10 2층 (을지로6가)","서울특별시 중구 을지로6가  18번지 137호  ","3010000-101-2002-00521","한식","떡볶이","98.81","광희동","상수도전용","02  22758592"
"3010000","2021","0001","20210908","20211103","아미월","서울특별시 중구 소공로 35 1층 120호 (회현동1가 남산 롯데캐슬)","서울특별시 중구 회현동1가  208번지  남산 롯데캐슬","3010000-101-2013-00352","한식","한정식 인삼불고기","44.00","회현동","","02  790 9008"
"3010000","2020","0001","20200828","20201104","중일회관","서울특별시 중구 명동길 25-4 (명동1가)","서울특별시 중구 명동1가  54번지 17호  ","3010000-101-1989-09967","일식","한우불고기","161.00","명동","상수도전용","02 773 2882"
"3010000","2020","0002","20200828","20201104","명동중일회관","서울특별시 중구 퇴계로18길 18 (남산동1가)","서울특별시 중구 남산동1가  6번지 7호  ","3010000-101-1994-09056","한식","한우","43.04","명동","상수도전용",""
"3010000","2020","0006","20201020","20201104","뚱뚱이 할머니집","서울특별시 중구 장충단로 174-1 (장충동1가(지상1층지상2층))","서울특별시 중구 장충동1가  62번지 10호  (지상1층지상2층)","3010000-101-2003-00438","한식","족발","39.67","장충동","상수도전용","02  22792714"
"3010000","2020","0005","20200907","20201104","광장동 가온","서울특별시 중구 명동길 74 (명동2가 1층)","서울특별시 중구 명동2가  1번지 1호  1층","3010000-101-2017-00079","한식","곰국시","531.75","명동","","02457 1729"
"3010000","2020","0004","20200907","20201104","명동피자 동대문이야기","서울특별시 중구 장충단로13길 20 지하2층 (을지로6가)","서울특별시 중구 을지로6가  17번지 2호  지하2층","3010000-101-2016-00092","경양식","피자파스타샐러드","178.50","광희동","","0222832234"
"3010000","2019","0001","20190701","20190905","남도복국","서울특별시 중구 세종대로18길 16-5 1층 (북창동)","서울특별시 중구 북창동  11번지 4호  1층","3010000-101-2018-00019","한식","복어요리","85.02","소공동","","031  8396799"
"3010000","2019","0006","20190701","20190905","원당감자탕","서울특별시 중구 명동8나길 35 (충무로1가)","서울특별시 중구 충무로1가  25번지 33호  ","3010000-101-1987-09633","한식","한식","140.58","명동","상수도전용","02757 7762"
"3010000","2019","0009","20190701","20190905","봉추찜닭","서울특별시 중구 명동8나길 47 (충무로1가 2층)","서울특별시 중구 충무로1가  25번지 8호  2층","3010000-101-2017-00195","기타","기타","187.24","명동","","02  37899381"
"3010000","2019","0017","20190719","20190905","디코레 북창동 순두부","서울특별시 중구 세종대로 78 (태평로2가 2층)","서울특별시 중구 태평로2가  68번지 7호  2층","3010000-101-2015-00389","한식","한식","225.19","소공동","","02  318 4350"
"3010000","2019","0010","20190705","20190905","영덕회식당(시청점)","서울특별시 중구 무교로 32 (무교동효령빌딩101102호(지하1층))","서울특별시 중구 무교동  1번지  효령빌딩101102호(지하1층)","3010000-101-2008-00024","일식","일식등","154.41","명동","상수도전용","00027570066"
"3010000","2019","0020","20190719","20190905","한상훈 셰프","서울특별시 중구 소공로 29 (회현동2가1층 2층)","서울특별시 중구 회현동2가  60번지 2호  1층 2층","3010000-101-2010-00351","까페","양식","213.02","회현동","","027711808"
"3010000","2019","0012","20190705","20190905","한가람","서울특별시 중구 남대문로5길 25 (북창동)","서울특별시 중구 북창동  93번지 35호  ","3010000-101-2000-13092","분식","한식","84.65","소공동","상수도전용","02 7775937"
"3010000","2019","0003","20190701","20190905","명동강남면옥","서울특별시 중구 명동7길 8 5층 (명동1가)","서울특별시 중구 명동1가  48번지 2호   명동1가 53-10 5층","3010000-101-2012-00150","경양식","한식","375.61","명동","","02  37897117"
"3010000","2019","0014","20190705","20190905","조선정육식당","서울특별시 중구 남대문로7길 33 (소공동(지상1층 104호))","서울특별시 중구 소공동  81번지  (지상1층 104호)","3010000-101-2004-00045","한식","한식","85.95","소공동","상수도전용","7738592"
"3010000","2019","0008","20190701","20190905","현가츠","서울특별시 중구 명동8나길 45 (충무로1가 지하1층)","서울특별시 중구 충무로1가  25번지 6호  지하1층","3010000-101-2015-00153","한식","양식","80.33","회현동","","02  37890673"
"3010000","2019","0015","20190719","20190905","김명자굴국밥전문점(북창점)","서울특별시 중구 세종대로14길 28-3 (북창동(지상1층))","서울특별시 중구 북창동  90번지 3호  (지상1층)","3010000-101-2004-00191","한식","한식","115.70","소공동","상수도전용","02 7779003"
