"시군구코드","지정년도","지정번호","신청일자","지정일자","업소명","소재지도로명","소재지지번","허가(신고)번호","업태명","주된음식","영업장면적(㎡)","행정동명","급수시설구분","소재지전화번호"
"3060000","2021","0007","20211115","20211210","장안칼국수","서울특별시 중랑구 상봉중앙로 56 (상봉동)","서울특별시 중랑구 상봉동  220번지 8호  ","3060000-101-1996-05938","분식","칼국수","59.40","상봉제1동","상수도전용","02 4388790"
"3060000","2021","0005","20211115","20211210","본가왕해물찜","서울특별시 중랑구 용마산로129길 60 (신내동)","서울특별시 중랑구 신내동  409번지 12호  ","3060000-101-2002-00725","한식","해물찜","60.15","신내1동","상수도전용","02  437 2030"
"3060000","2021","0004","20211115","20211210","청진동해장국","서울특별시 중랑구 동일로 751 (중화동)","서울특별시 중랑구 중화동  296번지 98호  ","3060000-101-2003-00368","한식","해장국","140.00","중화제2동","상수도전용","02  432 6089"
"3060000","2021","0003","20211115","20211210","박가네","서울특별시 중랑구 공릉로 6 (묵동)","서울특별시 중랑구 묵동  176번지 14호  ","3060000-101-2004-00605","한식","찌개","60.17","묵제1동","","02  9777777"
"3060000","2021","0001","20211115","20211210","주식회사 100년설렁탕","서울특별시 중랑구 중랑역로 249 1층 (묵동)","서울특별시 중랑구 묵동  233번지 103호  ","3060000-101-2021-00060","한식","설렁탕","98.00","묵제2동","상수도전용",""
"3060000","2021","0006","20211115","20211210","장어촌","서울특별시 중랑구 중랑천로12길 45-2 1~2층 (상봉동)","서울특별시 중랑구 상봉동  130번지 101호  ","3060000-101-2018-00183","한식","장어구이","87.72","상봉제2동","상수도전용",""
"3060000","2021","0002","20211115","20211210","고기이발소","서울특별시 중랑구 겸재로 187-8 (면목동)","서울특별시 중랑구 면목동  102번지 25호  ","3060000-101-2009-00146","호프/통닭","돼지고기 특수부위","111.42","면목본동","상수도전용","02  22085025"
"3060000","2019","0007","20191104","20191203","박가네 명동빈대떡","서울특별시 중랑구 겸재로 168 (면목동)","서울특별시 중랑구 면목동  117번지 25호  ","3060000-101-1996-02145","정종/대포집/소주방","빈대떡","71.40","면목본동","상수도전용","02  436 9425"
"3060000","2019","0001","20191104","20191203","광릉불고기","서울특별시 중랑구 망우로 425 (망우동)","서울특별시 중랑구 망우동  487번지 13호  ","3060000-101-2004-00223","한식","불고기","101.52","망우본동","","02  435 6631"
"3060000","2019","0006","20191104","20191203","지리산흑돼지","서울특별시 중랑구 중랑역로 263 (묵동)","서울특별시 중랑구 묵동  166번지 38호  ","3060000-101-2003-00149","한식","흑돼지 오겹살","66.00","묵제1동","상수도전용","02  9715101"
"3060000","2019","0002","20191104","20191203","성공시대팔팔추어탕","서울특별시 중랑구 상봉로 38 (면목동)","서울특별시 중랑구 면목동  23번지 11호  ","3060000-101-1999-08751","한식","추어탕","88.68","면목제3.8동","상수도전용","02  439 4366"
"3060000","2018","0002","20181026","20181115","채선당묵동점","서울특별시 중랑구 동일로 942 1층 (묵동 위더스빌 104105103호 일부)","서울특별시 중랑구 묵동  169번지 11호  위더스빌 104105103호 일부","3060000-101-2011-00009","한식","샤브샤브","177.78","묵제1동","","02  948 7220"
"3060000","2018","0001","20181026","20181115","부자돼소","서울특별시 중랑구 봉우재로 126 (면목동)","서울특별시 중랑구 면목동  91번지 61호  ","3060000-101-1999-08570","뷔페식","뷔페","149.40","면목본동","상수도전용","02 4388868"
"3060000","2017","0002","20171101","20171129","동해세수대야동태탕 상봉점","서울특별시 중랑구 망우로60길 31 (망우동)","서울특별시 중랑구 망우동  508번지 1호  ","3060000-101-2007-00341","한식","동태탕","188.10","망우본동","상수도전용","02 4938820"
"3060000","2017","0007","20171101","20171129","매우당 매운갈비찜(면목점)","서울특별시 중랑구 신내로 45 105호 (신내동 해성빌딩)","서울특별시 중랑구 신내동  537번지 3호  ","3060000-101-2015-00123","한식","냉면","66.71","신내1동","","02  960 0599"
"3060000","2017","0014","20171101","20171129","여자만아구찜","서울특별시 중랑구 동일로 685 (면목동)","서울특별시 중랑구 면목동  183번지 35호  ","3060000-101-1998-02575","한식","아구찜","105.66","면목제2동","상수도전용","02434 5954"
"3060000","2017","0005","20171101","20171129","골짝마을","서울특별시 중랑구 신내로 45 (신내동해성빌딩202)","서울특별시 중랑구 신내동  537번지 3호  해성빌딩202","3060000-101-2005-00465","한식","닭찜","122.87","신내2동","상수도전용","02 4365589"
"3060000","2017","0015","20171101","20171129","바다목장","서울특별시 중랑구 봉우재로 49 1층 (면목동)","서울특별시 중랑구 면목동  183번지 83호  ","3060000-101-2012-00226","일식","바닷가재","133.90","면목제2동","","02 4915419"
"3060000","2017","0017","20171101","20171129","대박집","서울특별시 중랑구 동일로 808 (중화동)","서울특별시 중랑구 중화동  285번지 13호  ","3060000-101-2002-00528","한식","삼겹살","115.40","중화제1동","상수도전용","02  34093751"
"3060000","2017","0016","20171101","20171129","성공시대","서울특별시 중랑구 동일로 633 1~2층 (면목동)","서울특별시 중랑구 면목동  176번지 123호  ","3060000-101-1990-01400","한식","닭곰탕","226.00","면목제2동","상수도전용","02  435 7999"
"3060000","2017","0001","20171101","20171129","독도게찜","서울특별시 중랑구 망우로 458 D동 1층 (망우동)","서울특별시 중랑구 망우동  202번지 19호  ","3060000-101-2017-00069","회집","게찜","253.00","망우본동","상수도전용","02 4338892"
"3060000","2017","0003","20171101","20171129","하늘정원더파티","서울특별시 중랑구 숙선옹주로 6-9 (묵동묵동자이프라자 1단지 B101~105B110호)","서울특별시 중랑구 묵동  164번지 4호  묵동자이프라자 1단지 B101~105B110호","3060000-101-2011-00162","뷔페식","뷔페","862.93","묵제1동","","02  978 6677"
"3060000","2017","0019","20171101","20171129","최민석 마구로","서울특별시 중랑구 동일로 939 2층 (묵동)","서울특별시 중랑구 묵동  234번지 52호  ","3060000-101-2015-00205","일식","참치","165.00","묵제2동","","02  977 0737"
"3060000","2017","0009","20171101","20171129","권참치","서울특별시 중랑구 사가정로 377 보린약국 1층 (면목동)","서울특별시 중랑구 면목동  604번지 41호  보린약국","3060000-101-2014-00013","일식","참치","95.82","면목제3.8동","","02 4351186"
"3060000","2017","0006","20171101","20171129","대연참숯불돼지갈비 함흥냉면","서울특별시 중랑구 면목로 489 2층 (상봉동)","서울특별시 중랑구 상봉동  113번지  ","3060000-101-2013-00294","한식","불고기정식","132.68","상봉제2동","","02  447 2666"
"3060000","2017","0012","20171101","20171129","대박집","서울특별시 중랑구 면목로 419 (면목동)","서울특별시 중랑구 면목동  126번지 7호  ","3060000-101-2003-00033","한식","삼겹살","235.21","면목본동","상수도전용","02  433 0053"
"3060000","2017","0013","20171101","20171129","홍어천국","서울특별시 중랑구 면목로 421 2층 (면목동)","서울특별시 중랑구 면목동  126번지 6호  ","3060000-101-2017-00061","한식","홍어","107.50","면목본동","상수도전용","02436 4757"
"3060000","2016","0102","20161004","20161128","공주식당","서울특별시 중랑구 망우로60길 37 1층 112호 (망우동 효성 써너스빌 에코)","서울특별시 중랑구 망우동  508번지 2호  효성 써너스빌 에코","3060000-101-2005-00018","한식","닭곰탕","17.92","망우본동","","02   4346497"
"3060000","2016","0106","20161004","20161128","어수라 생선구이","서울특별시 중랑구 면목로91길 19 (상봉동)","서울특별시 중랑구 상봉동  111번지 17호  ","3060000-101-2000-09571","한식","생선구이","52.92","상봉제2동","상수도전용","02  437 9295"
"3060000","2016","0103","20161004","20161128","서해쭈꾸미","서울특별시 중랑구 겸재로 191 (면목동)","서울특별시 중랑구 면목동  102번지 15호  ","3060000-101-2000-09600","한식","주꾸미","62.64","면목본동","상수도전용","02  22097892"
"3060000","2016","0094","20161128","20161128","스시남","서울특별시 중랑구 중랑역로 261 1층 (묵동)","서울특별시 중랑구 묵동  166번지 39호  ","3060000-101-2015-00159","일식","회초밥","69.98","묵제1동","","02  975 1093"
"3060000","2016","0109","20161128","20161128","뱃놈과 백정","서울특별시 중랑구 면목로 348 (면목동)","서울특별시 중랑구 면목동  458번지 28호  ","3060000-101-2001-09756","한식","돼지갈비","109.89","면목제3.8동","상수도전용","02  493 0807"
"3060000","2016","0014","20161128","20161128","대한족발","서울특별시 중랑구 사가정로51길 31 (면목동 1층)","서울특별시 중랑구 면목동  595번지 56호  ","3060000-101-2006-00291","한식","족발","105.04","면목제3.8동","상수도전용","02  22092356"
"3060000","2016","0004","20141001","20161128","맹돌이생선구이쌈밥","서울특별시 중랑구 용마산로115길 59 2층 (망우동)","서울특별시 중랑구 망우동  491번지 39호  2층","3060000-101-1994-03515","한식","생선구이","88.80","망우본동","상수도전용","02 4918221"
"3060000","2016","0012","20161128","20161128","뽈따구","서울특별시 중랑구 봉우재로33길 48 (상봉동)","서울특별시 중랑구 상봉동  105번지 9호  ","3060000-101-2002-00084","한식","닭갈비","49.40","상봉제2동","상수도전용","02  491 1644"
